plate_map_name	well_position	METADATA_SAMPLE_ID	METADATA_DENSITY	METADATA_CONDITION	METADATA_SOURCE
2022-08-07_batch_METADATA	A01	1	5000	CONTROL	HUMAN
2022-08-07_batch_METADATA	A02	30	5000	DELETION	HUMAN
2022-08-07_batch_METADATA	A03	9	5000	CONTROL	HUMAN
2022-08-07_batch_METADATA	A04	26	5000	DELETION	ISOGENIC
2022-08-07_batch_METADATA	A05	4	5000	CONTROL	HUMAN
2022-08-07_batch_METADATA	A06	34	5000	DELETION	HUMAN
2022-08-07_batch_METADATA	A07	15	5000	CONTROL	HUMAN
2022-08-07_batch_METADATA	A08	36	5000	DELETION	HUMAN
2022-08-07_batch_METADATA	A09	2	5000	CONTROL	HUMAN
2022-08-07_batch_METADATA	A10	16	5000	CONTROL	HUMAN
2022-08-07_batch_METADATA	A11	20	5000	CONTROL	HUMAN
2022-08-07_batch_METADATA	A12	12	5000	CONTROL	HUMAN
2022-08-07_batch_METADATA	B01	17	5000	CONTROL	HUMAN
2022-08-07_batch_METADATA	B02	39	5000	DELETION	HUMAN
2022-08-07_batch_METADATA	B03	37	5000	DELETION	HUMAN
2022-08-07_batch_METADATA	B04	42	5000	DELETION	HUMAN
2022-08-07_batch_METADATA	B05	7	5000	CONTROL	HUMAN
2022-08-07_batch_METADATA	B06	29	5000	DELETION	HUMAN
2022-08-07_batch_METADATA	B07	11	5000	CONTROL	HUMAN
2022-08-07_batch_METADATA	B08	38	5000	DELETION	HUMAN
2022-08-07_batch_METADATA	B09	43	5000	DELETION	HUMAN
2022-08-07_batch_METADATA	B10	18	5000	CONTROL	HUMAN
2022-08-07_batch_METADATA	B11	6	5000	CONTROL	HUMAN
2022-08-07_batch_METADATA	B12	29	5000	DELETION	HUMAN
2022-08-07_batch_METADATA	C01	27	5000	DELETION	HUMAN
2022-08-07_batch_METADATA	C02	41	5000	DELETION	HUMAN
2022-08-07_batch_METADATA	C03	32	5000	DELETION	HUMAN
2022-08-07_batch_METADATA	C04	46	5000	DELETION	HUMAN
2022-08-07_batch_METADATA	C05	1	5000	CONTROL	HUMAN
2022-08-07_batch_METADATA	C06	33	5000	DELETION	HUMAN
2022-08-07_batch_METADATA	C07	14	5000	CONTROL	HUMAN
2022-08-07_batch_METADATA	C08	9	5000	CONTROL	HUMAN
2022-08-07_batch_METADATA	C09	23	5000	CONTROL	ISOGENIC
2022-08-07_batch_METADATA	C10	22	5000	CONTROL	HUMAN
2022-08-07_batch_METADATA	C11	3	5000	CONTROL	HUMAN
2022-08-07_batch_METADATA	C12	28	5000	DELETION	HUMAN
2022-08-07_batch_METADATA	D01	5	5000	CONTROL	HUMAN
2022-08-07_batch_METADATA	D02	35	5000	DELETION	HUMAN
2022-08-07_batch_METADATA	D03	13	5000	CONTROL	HUMAN
2022-08-07_batch_METADATA	D04	19	5000	CONTROL	HUMAN
2022-08-07_batch_METADATA	D05	24	5000	CONTROL	ISOGENIC
2022-08-07_batch_METADATA	D06	17	5000	CONTROL	HUMAN
2022-08-07_batch_METADATA	D07	21	5000	CONTROL	HUMAN
