Metadata_Plate_Map_Name,Metadata_line_ID,Metadata_plating_density,correlation
BR_NCP_STEM_1,1,10000,0.5106026426280503
BR_NCP_STEM_1,2,10000,0.5682122869271916
BR_NCP_STEM_1,3,10000,0.1877270177774812
BR_NCP_STEM_1,4,10000,0.4452901739940888
BR_NCP_STEM_1,5,10000,0.5450242630545251
BR_NCP_STEM_1,6,10000,0.1631932290498731
BR_NCP_STEM_1,7,10000,0.456098158032493
BR_NCP_STEM_1,8,10000,0.45194062334180085
BR_NCP_STEM_1,9,10000,0.7877533518392764
BR_NCP_STEM_1,10,10000,0.3542101838636988
BR_NCP_STEM_1,11,10000,0.6918636214914884
BR_NCP_STEM_1,12,10000,0.37128121300205275
BR_NCP_STEM_1,13,10000,0.22323421451990677
BR_NCP_STEM_1,14,10000,0.4563528445559472
BR_NCP_STEM_1,15,10000,0.4515577233712842
BR_NCP_STEM_1,16,10000,0.46816606077657735
BR_NCP_STEM_1,17,10000,0.3316065555613119
BR_NCP_STEM_1,18,10000,0.7481289225820106
BR_NCP_STEM_1,19,10000,0.09117857199496046
BR_NCP_STEM_1,20,10000,0.2153530577179503
BR_NCP_STEM_1,21,10000,0.6842239111491347
BR_NCP_STEM_1,22,10000,0.42089403306244977
BR_NCP_STEM_1,23,10000,0.7705820856147847
BR_NCP_STEM_1,24,10000,0.8748394181310312
BR_NCP_STEM_1,25,10000,0.8124204776805047
BR_NCP_STEM_1,26,10000,0.8005878643368964
BR_NCP_STEM_1,27,10000,0.458827115840309
BR_NCP_STEM_1,28,10000,0.6237545637561128
BR_NCP_STEM_1,29,10000,0.2358452216583396
BR_NCP_STEM_1,30,10000,0.3062032356207667
BR_NCP_STEM_1,31,10000,0.7887093668453171
BR_NCP_STEM_1,32,10000,-0.013925243184767237
BR_NCP_STEM_1,33,10000,0.5558852896582545
BR_NCP_STEM_1,34,10000,0.7037409987168411
BR_NCP_STEM_1,35,10000,0.8238199720916612
BR_NCP_STEM_1,36,10000,0.21917426268675297
BR_NCP_STEM_1,37,10000,0.21392892827499094
BR_NCP_STEM_1,38,10000,0.6560741777413575
BR_NCP_STEM_1,39,10000,0.5065846622478001
BR_NCP_STEM_1,40,10000,0.4592562569889691
BR_NCP_STEM_1,41,10000,0.23654529608150116
BR_NCP_STEM_1,42,10000,0.0955600170156746
BR_NCP_STEM_1,43,10000,0.5452356804013189
BR_NCP_STEM_1,44,10000,0.6790288325122691
BR_NCP_STEM_1,45,10000,0.24537080858261318
BR_NCP_STEM_1,46,10000,-0.0463257307719431
BR_NCP_STEM_1,47,10000,0.8718598210237958
BR_NCP_STEM_1,48,10000,0.4830030447928754
