id1,id2,correlation,Metadata_line_condition1,Metadata_plating_density1,Metadata_line_condition2,Metadata_plating_density2,Count_Cells1,Count_Cells2,cell_count_abs_diff,cell_count_sum
8,5,0.9788893311788118,deletion,10000,deletion,2500,14.5,13,1.5,27.5
7,6,0.9000983313617162,deletion,7500,deletion,5000,18.5,22,3.5,40.5
8,6,0.7838038548066012,deletion,10000,deletion,5000,14.5,22,7.5,36.5
6,5,0.7108919431261196,deletion,5000,deletion,2500,22,13,9,35
3,2,0.6931915108839983,control,7500,control,5000,15.5,15,0.5,30.5
2,1,0.5355739099605794,control,5000,control,2500,15,7,8,22
8,7,0.43970621258682785,deletion,10000,deletion,7500,14.5,18.5,4,33
7,5,0.347843898711578,deletion,7500,deletion,2500,18.5,13,5.5,31.5
3,1,0.32184235157188285,control,7500,control,2500,15.5,7,8.5,22.5
4,3,0.2428874089185821,control,10000,control,7500,28.5,15.5,13,44
4,2,0.07727158031857603,control,10000,control,5000,28.5,15,13.5,43.5
4,1,0.06982199426436056,control,10000,control,2500,28.5,7,21.5,35.5
5,3,0.012996085074101984,deletion,2500,control,7500,13,15.5,2.5,28.5
5,2,0.007524544796481055,deletion,2500,control,5000,13,15,2,28
8,3,-0.04092019322095108,deletion,10000,control,7500,14.5,15.5,1,30
5,1,-0.04782271873916346,deletion,2500,control,2500,13,7,6,20
8,2,-0.06180128881485984,deletion,10000,control,5000,14.5,15,0.5,29.5
8,1,-0.07512637701139321,deletion,10000,control,2500,14.5,7,7.5,21.5
7,1,-0.0756553471412953,deletion,7500,control,2500,18.5,7,11.5,25.5
6,3,-0.0759986635406161,deletion,5000,control,7500,22,15.5,6.5,37.5
7,3,-0.07600049504687832,deletion,7500,control,7500,18.5,15.5,3,34
8,4,-0.07761882659696036,deletion,10000,control,10000,14.5,28.5,14,43
7,4,-0.07767072087535364,deletion,7500,control,10000,18.5,28.5,10,47
6,1,-0.07946709554151485,deletion,5000,control,2500,22,7,15,29
6,4,-0.08269685179947495,deletion,5000,control,10000,22,28.5,6.5,50.5
7,2,-0.08613070167142794,deletion,7500,control,5000,18.5,15,3.5,33.5
6,2,-0.09089605802205092,deletion,5000,control,5000,22,15,7,37
5,4,-0.11820809343797493,deletion,2500,control,10000,13,28.5,15.5,41.5
