Metadata_Batch,Metadata_Plate,Metadata_Well,Metadata_Row,Metadata_FieldID,Metadata_plating_density,Metadata_line_ID,Metadata_line_condition,Metadata_line_source,FileName_OrigDNA,FileName_OrigER,FileName_OrigRNA,FileName_OrigAGP,FileName_OrigMito
2022_03_03_NCP_NEURONS_2_20x,BR00132672,H10,8,3,3500,24,control,NA,r08c10f03p03-ch6sk1fk1fl1.tiff,r08c10f03p03-ch4sk1fk1fl1.tiff,r08c10f03p03-ch5sk1fk1fl1.tiff,r08c10f03p03-ch2sk1fk1fl1.tiff,r08c10f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132672,H13,8,3,3500,21,control,NA,r08c13f03p03-ch6sk1fk1fl1.tiff,r08c13f03p03-ch4sk1fk1fl1.tiff,r08c13f03p03-ch5sk1fk1fl1.tiff,r08c13f03p03-ch2sk1fk1fl1.tiff,r08c13f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132672,H21,8,3,3500,45,deletion,NA,r08c21f03p03-ch6sk1fk1fl1.tiff,r08c21f03p03-ch4sk1fk1fl1.tiff,r08c21f03p03-ch5sk1fk1fl1.tiff,r08c21f03p03-ch2sk1fk1fl1.tiff,r08c21f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132672,H24,8,3,3500,11,control,NA,r08c24f03p03-ch6sk1fk1fl1.tiff,r08c24f03p03-ch4sk1fk1fl1.tiff,r08c24f03p03-ch5sk1fk1fl1.tiff,r08c24f03p03-ch2sk1fk1fl1.tiff,r08c24f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132672,J06,10,3,3500,44,deletion,NA,r10c06f03p03-ch6sk1fk1fl1.tiff,r10c06f03p03-ch4sk1fk1fl1.tiff,r10c06f03p03-ch5sk1fk1fl1.tiff,r10c06f03p03-ch2sk1fk1fl1.tiff,r10c06f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132672,J10,10,3,3500,20,control,NA,r10c10f03p03-ch6sk1fk1fl1.tiff,r10c10f03p03-ch4sk1fk1fl1.tiff,r10c10f03p03-ch5sk1fk1fl1.tiff,r10c10f03p03-ch2sk1fk1fl1.tiff,r10c10f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132672,J16,10,3,3500,5,control,NA,r10c16f03p03-ch6sk1fk1fl1.tiff,r10c16f03p03-ch4sk1fk1fl1.tiff,r10c16f03p03-ch5sk1fk1fl1.tiff,r10c16f03p03-ch2sk1fk1fl1.tiff,r10c16f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132672,K15,11,3,3500,48,deletion,NA,r11c15f03p03-ch6sk1fk1fl1.tiff,r11c15f03p03-ch4sk1fk1fl1.tiff,r11c15f03p03-ch5sk1fk1fl1.tiff,r11c15f03p03-ch2sk1fk1fl1.tiff,r11c15f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132672,L20,12,3,3500,8,deletion,NA,r12c20f03p03-ch6sk1fk1fl1.tiff,r12c20f03p03-ch4sk1fk1fl1.tiff,r12c20f03p03-ch5sk1fk1fl1.tiff,r12c20f03p03-ch2sk1fk1fl1.tiff,r12c20f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132672,M04,13,3,3500,36,deletion,NA,r13c04f03p03-ch6sk1fk1fl1.tiff,r13c04f03p03-ch4sk1fk1fl1.tiff,r13c04f03p03-ch5sk1fk1fl1.tiff,r13c04f03p03-ch2sk1fk1fl1.tiff,r13c04f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132672,M08,13,3,3500,16,deletion,NA,r13c08f03p03-ch6sk1fk1fl1.tiff,r13c08f03p03-ch4sk1fk1fl1.tiff,r13c08f03p03-ch5sk1fk1fl1.tiff,r13c08f03p03-ch2sk1fk1fl1.tiff,r13c08f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132672,N12,14,3,3500,4,deletion,NA,r14c12f03p03-ch6sk1fk1fl1.tiff,r14c12f03p03-ch4sk1fk1fl1.tiff,r14c12f03p03-ch5sk1fk1fl1.tiff,r14c12f03p03-ch2sk1fk1fl1.tiff,r14c12f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132672,P04,16,3,3500,25,control,NA,r16c04f03p03-ch6sk1fk1fl1.tiff,r16c04f03p03-ch4sk1fk1fl1.tiff,r16c04f03p03-ch5sk1fk1fl1.tiff,r16c04f03p03-ch2sk1fk1fl1.tiff,r16c04f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132673,A02,1,3,3500,1,deletion,NA,r01c02f03p03-ch6sk1fk1fl1.tiff,r01c02f03p03-ch4sk1fk1fl1.tiff,r01c02f03p03-ch5sk1fk1fl1.tiff,r01c02f03p03-ch2sk1fk1fl1.tiff,r01c02f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132673,B04,2,3,3500,30,control,NA,r02c04f03p03-ch6sk1fk1fl1.tiff,r02c04f03p03-ch4sk1fk1fl1.tiff,r02c04f03p03-ch5sk1fk1fl1.tiff,r02c04f03p03-ch2sk1fk1fl1.tiff,r02c04f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132673,B24,2,3,3500,12,control,NA,r02c24f03p03-ch6sk1fk1fl1.tiff,r02c24f03p03-ch4sk1fk1fl1.tiff,r02c24f03p03-ch5sk1fk1fl1.tiff,r02c24f03p03-ch2sk1fk1fl1.tiff,r02c24f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132673,C17,3,3,3500,43,control,NA,r03c17f03p03-ch6sk1fk1fl1.tiff,r03c17f03p03-ch4sk1fk1fl1.tiff,r03c17f03p03-ch5sk1fk1fl1.tiff,r03c17f03p03-ch2sk1fk1fl1.tiff,r03c17f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132673,D07,4,3,3500,42,deletion,NA,r04c07f03p03-ch6sk1fk1fl1.tiff,r04c07f03p03-ch4sk1fk1fl1.tiff,r04c07f03p03-ch5sk1fk1fl1.tiff,r04c07f03p03-ch2sk1fk1fl1.tiff,r04c07f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132673,D10,4,3,3500,7,control,NA,r04c10f03p03-ch6sk1fk1fl1.tiff,r04c10f03p03-ch4sk1fk1fl1.tiff,r04c10f03p03-ch5sk1fk1fl1.tiff,r04c10f03p03-ch2sk1fk1fl1.tiff,r04c10f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132673,D12,4,3,3500,29,control,NA,r04c12f03p03-ch6sk1fk1fl1.tiff,r04c12f03p03-ch4sk1fk1fl1.tiff,r04c12f03p03-ch5sk1fk1fl1.tiff,r04c12f03p03-ch2sk1fk1fl1.tiff,r04c12f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132673,D19,4,3,3500,18,deletion,NA,r04c19f03p03-ch6sk1fk1fl1.tiff,r04c19f03p03-ch4sk1fk1fl1.tiff,r04c19f03p03-ch5sk1fk1fl1.tiff,r04c19f03p03-ch2sk1fk1fl1.tiff,r04c19f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132673,E06,5,3,3500,32,control,NA,r05c06f03p03-ch6sk1fk1fl1.tiff,r05c06f03p03-ch4sk1fk1fl1.tiff,r05c06f03p03-ch5sk1fk1fl1.tiff,r05c06f03p03-ch2sk1fk1fl1.tiff,r05c06f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132673,E15,5,3,3500,9,control,NA,r05c15f03p03-ch6sk1fk1fl1.tiff,r05c15f03p03-ch4sk1fk1fl1.tiff,r05c15f03p03-ch5sk1fk1fl1.tiff,r05c15f03p03-ch2sk1fk1fl1.tiff,r05c15f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132673,F08,6,3,3500,46,control,NA,r06c08f03p03-ch6sk1fk1fl1.tiff,r06c08f03p03-ch4sk1fk1fl1.tiff,r06c08f03p03-ch5sk1fk1fl1.tiff,r06c08f03p03-ch2sk1fk1fl1.tiff,r06c08f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132673,F13,6,3,3500,14,control,NA,r06c13f03p03-ch6sk1fk1fl1.tiff,r06c13f03p03-ch4sk1fk1fl1.tiff,r06c13f03p03-ch5sk1fk1fl1.tiff,r06c13f03p03-ch2sk1fk1fl1.tiff,r06c13f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132673,F24,6,3,3500,28,control,NA,r06c24f03p03-ch6sk1fk1fl1.tiff,r06c24f03p03-ch4sk1fk1fl1.tiff,r06c24f03p03-ch5sk1fk1fl1.tiff,r06c24f03p03-ch2sk1fk1fl1.tiff,r06c24f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132673,H19,8,3,3500,10,control,NA,r08c19f03p03-ch6sk1fk1fl1.tiff,r08c19f03p03-ch4sk1fk1fl1.tiff,r08c19f03p03-ch5sk1fk1fl1.tiff,r08c19f03p03-ch2sk1fk1fl1.tiff,r08c19f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132673,I13,9,3,3500,47,deletion,NA,r09c13f03p03-ch6sk1fk1fl1.tiff,r09c13f03p03-ch4sk1fk1fl1.tiff,r09c13f03p03-ch5sk1fk1fl1.tiff,r09c13f03p03-ch2sk1fk1fl1.tiff,r09c13f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132673,K03,11,3,3500,40,control,NA,r11c03f03p03-ch6sk1fk1fl1.tiff,r11c03f03p03-ch4sk1fk1fl1.tiff,r11c03f03p03-ch5sk1fk1fl1.tiff,r11c03f03p03-ch2sk1fk1fl1.tiff,r11c03f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132673,L08,12,3,3500,2,deletion,NA,r12c08f03p03-ch6sk1fk1fl1.tiff,r12c08f03p03-ch4sk1fk1fl1.tiff,r12c08f03p03-ch5sk1fk1fl1.tiff,r12c08f03p03-ch2sk1fk1fl1.tiff,r12c08f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132673,N19,14,3,3500,15,deletion,NA,r14c19f03p03-ch6sk1fk1fl1.tiff,r14c19f03p03-ch4sk1fk1fl1.tiff,r14c19f03p03-ch5sk1fk1fl1.tiff,r14c19f03p03-ch2sk1fk1fl1.tiff,r14c19f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132673,O07,15,3,3500,31,control,NA,r15c07f03p03-ch6sk1fk1fl1.tiff,r15c07f03p03-ch4sk1fk1fl1.tiff,r15c07f03p03-ch5sk1fk1fl1.tiff,r15c07f03p03-ch2sk1fk1fl1.tiff,r15c07f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132673,O19,15,3,3500,13,deletion,NA,r15c19f03p03-ch6sk1fk1fl1.tiff,r15c19f03p03-ch4sk1fk1fl1.tiff,r15c19f03p03-ch5sk1fk1fl1.tiff,r15c19f03p03-ch2sk1fk1fl1.tiff,r15c19f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132673,P16,16,3,3500,23,deletion,NA,r16c16f03p03-ch6sk1fk1fl1.tiff,r16c16f03p03-ch4sk1fk1fl1.tiff,r16c16f03p03-ch5sk1fk1fl1.tiff,r16c16f03p03-ch2sk1fk1fl1.tiff,r16c16f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132673,P17,16,3,3500,33,deletion,NA,r16c17f03p03-ch6sk1fk1fl1.tiff,r16c17f03p03-ch4sk1fk1fl1.tiff,r16c17f03p03-ch5sk1fk1fl1.tiff,r16c17f03p03-ch2sk1fk1fl1.tiff,r16c17f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132673,P21,16,3,3500,35,deletion,NA,r16c21f03p03-ch6sk1fk1fl1.tiff,r16c21f03p03-ch4sk1fk1fl1.tiff,r16c21f03p03-ch5sk1fk1fl1.tiff,r16c21f03p03-ch2sk1fk1fl1.tiff,r16c21f03p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,A05,1,3,5000,4,control,human,r01c05f03p03-ch6sk1fk1fl1.tiff,r01c05f03p03-ch5sk1fk1fl1.tiff,r01c05f03p03-ch4sk1fk1fl1.tiff,r01c05f03p03-ch2sk1fk1fl1.tiff,r01c05f03p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,A05,1,5,5000,4,control,human,r01c05f05p03-ch6sk1fk1fl1.tiff,r01c05f05p03-ch5sk1fk1fl1.tiff,r01c05f05p03-ch4sk1fk1fl1.tiff,r01c05f05p03-ch2sk1fk1fl1.tiff,r01c05f05p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,A09,1,3,5000,2,control,human,r01c09f03p03-ch6sk1fk1fl1.tiff,r01c09f03p03-ch5sk1fk1fl1.tiff,r01c09f03p03-ch4sk1fk1fl1.tiff,r01c09f03p03-ch2sk1fk1fl1.tiff,r01c09f03p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,A09,1,5,5000,2,control,human,r01c09f05p03-ch6sk1fk1fl1.tiff,r01c09f05p03-ch5sk1fk1fl1.tiff,r01c09f05p03-ch4sk1fk1fl1.tiff,r01c09f05p03-ch2sk1fk1fl1.tiff,r01c09f05p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,A10,1,3,5000,16,control,human,r01c10f03p03-ch6sk1fk1fl1.tiff,r01c10f03p03-ch5sk1fk1fl1.tiff,r01c10f03p03-ch4sk1fk1fl1.tiff,r01c10f03p03-ch2sk1fk1fl1.tiff,r01c10f03p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,A10,1,5,5000,16,control,human,r01c10f05p03-ch6sk1fk1fl1.tiff,r01c10f05p03-ch5sk1fk1fl1.tiff,r01c10f05p03-ch4sk1fk1fl1.tiff,r01c10f05p03-ch2sk1fk1fl1.tiff,r01c10f05p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,A12,1,3,5000,12,control,human,r01c12f03p03-ch6sk1fk1fl1.tiff,r01c12f03p03-ch5sk1fk1fl1.tiff,r01c12f03p03-ch4sk1fk1fl1.tiff,r01c12f03p03-ch2sk1fk1fl1.tiff,r01c12f03p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,A12,1,5,5000,12,control,human,r01c12f05p03-ch6sk1fk1fl1.tiff,r01c12f05p03-ch5sk1fk1fl1.tiff,r01c12f05p03-ch4sk1fk1fl1.tiff,r01c12f05p03-ch2sk1fk1fl1.tiff,r01c12f05p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,B02,2,3,5000,39,deletion,human,r02c02f03p03-ch6sk1fk1fl1.tiff,r02c02f03p03-ch5sk1fk1fl1.tiff,r02c02f03p03-ch4sk1fk1fl1.tiff,r02c02f03p03-ch2sk1fk1fl1.tiff,r02c02f03p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,B02,2,5,5000,39,deletion,human,r02c02f05p03-ch6sk1fk1fl1.tiff,r02c02f05p03-ch5sk1fk1fl1.tiff,r02c02f05p03-ch4sk1fk1fl1.tiff,r02c02f05p03-ch2sk1fk1fl1.tiff,r02c02f05p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,B07,2,3,5000,11,control,human,r02c07f03p03-ch6sk1fk1fl1.tiff,r02c07f03p03-ch5sk1fk1fl1.tiff,r02c07f03p03-ch4sk1fk1fl1.tiff,r02c07f03p03-ch2sk1fk1fl1.tiff,r02c07f03p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,B07,2,5,5000,11,control,human,r02c07f05p03-ch6sk1fk1fl1.tiff,r02c07f05p03-ch5sk1fk1fl1.tiff,r02c07f05p03-ch4sk1fk1fl1.tiff,r02c07f05p03-ch2sk1fk1fl1.tiff,r02c07f05p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,C01,3,3,5000,27,deletion,human,r03c01f03p03-ch6sk1fk1fl1.tiff,r03c01f03p03-ch5sk1fk1fl1.tiff,r03c01f03p03-ch4sk1fk1fl1.tiff,r03c01f03p03-ch2sk1fk1fl1.tiff,r03c01f03p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,C01,3,5,5000,27,deletion,human,r03c01f05p03-ch6sk1fk1fl1.tiff,r03c01f05p03-ch5sk1fk1fl1.tiff,r03c01f05p03-ch4sk1fk1fl1.tiff,r03c01f05p03-ch2sk1fk1fl1.tiff,r03c01f05p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,C02,3,3,5000,41,deletion,human,r03c02f03p03-ch6sk1fk1fl1.tiff,r03c02f03p03-ch5sk1fk1fl1.tiff,r03c02f03p03-ch4sk1fk1fl1.tiff,r03c02f03p03-ch2sk1fk1fl1.tiff,r03c02f03p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,C02,3,5,5000,41,deletion,human,r03c02f05p03-ch6sk1fk1fl1.tiff,r03c02f05p03-ch5sk1fk1fl1.tiff,r03c02f05p03-ch4sk1fk1fl1.tiff,r03c02f05p03-ch2sk1fk1fl1.tiff,r03c02f05p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,C03,3,3,5000,32,deletion,human,r03c03f03p03-ch6sk1fk1fl1.tiff,r03c03f03p03-ch5sk1fk1fl1.tiff,r03c03f03p03-ch4sk1fk1fl1.tiff,r03c03f03p03-ch2sk1fk1fl1.tiff,r03c03f03p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,C03,3,5,5000,32,deletion,human,r03c03f05p03-ch6sk1fk1fl1.tiff,r03c03f05p03-ch5sk1fk1fl1.tiff,r03c03f05p03-ch4sk1fk1fl1.tiff,r03c03f05p03-ch2sk1fk1fl1.tiff,r03c03f05p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,C09,3,3,5000,23,control,isogenic,r03c09f03p03-ch6sk1fk1fl1.tiff,r03c09f03p03-ch5sk1fk1fl1.tiff,r03c09f03p03-ch4sk1fk1fl1.tiff,r03c09f03p03-ch2sk1fk1fl1.tiff,r03c09f03p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,C09,3,5,5000,23,control,isogenic,r03c09f05p03-ch6sk1fk1fl1.tiff,r03c09f05p03-ch5sk1fk1fl1.tiff,r03c09f05p03-ch4sk1fk1fl1.tiff,r03c09f05p03-ch2sk1fk1fl1.tiff,r03c09f05p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,D01,4,3,5000,5,control,human,r04c01f03p03-ch6sk1fk1fl1.tiff,r04c01f03p03-ch5sk1fk1fl1.tiff,r04c01f03p03-ch4sk1fk1fl1.tiff,r04c01f03p03-ch2sk1fk1fl1.tiff,r04c01f03p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,D01,4,5,5000,5,control,human,r04c01f05p03-ch6sk1fk1fl1.tiff,r04c01f05p03-ch5sk1fk1fl1.tiff,r04c01f05p03-ch4sk1fk1fl1.tiff,r04c01f05p03-ch2sk1fk1fl1.tiff,r04c01f05p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,D03,4,3,5000,13,control,human,r04c03f03p03-ch6sk1fk1fl1.tiff,r04c03f03p03-ch5sk1fk1fl1.tiff,r04c03f03p03-ch4sk1fk1fl1.tiff,r04c03f03p03-ch2sk1fk1fl1.tiff,r04c03f03p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,D03,4,5,5000,13,control,human,r04c03f05p03-ch6sk1fk1fl1.tiff,r04c03f05p03-ch5sk1fk1fl1.tiff,r04c03f05p03-ch4sk1fk1fl1.tiff,r04c03f05p03-ch2sk1fk1fl1.tiff,r04c03f05p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,D10,4,3,5000,10,control,human,r04c10f03p03-ch6sk1fk1fl1.tiff,r04c10f03p03-ch5sk1fk1fl1.tiff,r04c10f03p03-ch4sk1fk1fl1.tiff,r04c10f03p03-ch2sk1fk1fl1.tiff,r04c10f03p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,D10,4,5,5000,10,control,human,r04c10f05p03-ch6sk1fk1fl1.tiff,r04c10f05p03-ch5sk1fk1fl1.tiff,r04c10f05p03-ch4sk1fk1fl1.tiff,r04c10f05p03-ch2sk1fk1fl1.tiff,r04c10f05p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,E09,5,3,5000,40,deletion,human,r05c09f03p03-ch6sk1fk1fl1.tiff,r05c09f03p03-ch5sk1fk1fl1.tiff,r05c09f03p03-ch4sk1fk1fl1.tiff,r05c09f03p03-ch2sk1fk1fl1.tiff,r05c09f03p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,E09,5,5,5000,40,deletion,human,r05c09f05p03-ch6sk1fk1fl1.tiff,r05c09f05p03-ch5sk1fk1fl1.tiff,r05c09f05p03-ch4sk1fk1fl1.tiff,r05c09f05p03-ch2sk1fk1fl1.tiff,r05c09f05p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,E12,5,3,5000,19,control,human,r05c12f03p03-ch6sk1fk1fl1.tiff,r05c12f03p03-ch5sk1fk1fl1.tiff,r05c12f03p03-ch4sk1fk1fl1.tiff,r05c12f03p03-ch2sk1fk1fl1.tiff,r05c12f03p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,E12,5,5,5000,19,control,human,r05c12f05p03-ch6sk1fk1fl1.tiff,r05c12f05p03-ch5sk1fk1fl1.tiff,r05c12f05p03-ch4sk1fk1fl1.tiff,r05c12f05p03-ch2sk1fk1fl1.tiff,r05c12f05p03-ch1sk1fk1fl1.tiff
2022-08-07_batch,PE_PP_Plate2,F05,6,3,5000,26,deletion,isogenic,r06c05f03p03-ch6sk1fk1fl1.tiff,r06c05f03p03-ch5sk1fk1fl1.tiff,r06c05f03p03-ch4sk1fk1fl1.tiff,r06c05f03p03-ch2sk1fk1fl1.tiff,r06c05f03p03-ch1sk1fk1fl1.tiff
