Metadata_Batch,Metadata_Plate,Metadata_Well,Metadata_Row,Metadata_FieldID,Metadata_plating_density,Metadata_line_ID,Metadata_line_condition,Metadata_line_source,FileName_OrigDNA,FileName_OrigER,FileName_OrigRNA,FileName_OrigAGP,FileName_OrigMito
2022_03_03_NCP_NEURONS_2_20x,BR00132672,A07,1,3,3500,26,control,NA,r01c07f03p03-ch6sk1fk1fl1.tiff,r01c07f03p03-ch4sk1fk1fl1.tiff,r01c07f03p03-ch5sk1fk1fl1.tiff,r01c07f03p03-ch2sk1fk1fl1.tiff,r01c07f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132672,A11,1,3,3500,34,deletion,NA,r01c11f03p03-ch6sk1fk1fl1.tiff,r01c11f03p03-ch4sk1fk1fl1.tiff,r01c11f03p03-ch5sk1fk1fl1.tiff,r01c11f03p03-ch2sk1fk1fl1.tiff,r01c11f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132672,C15,3,3,3500,38,deletion,NA,r03c15f03p03-ch6sk1fk1fl1.tiff,r03c15f03p03-ch4sk1fk1fl1.tiff,r03c15f03p03-ch5sk1fk1fl1.tiff,r03c15f03p03-ch2sk1fk1fl1.tiff,r03c15f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132672,D04,4,3,3500,39,control,NA,r04c04f03p03-ch6sk1fk1fl1.tiff,r04c04f03p03-ch4sk1fk1fl1.tiff,r04c04f03p03-ch5sk1fk1fl1.tiff,r04c04f03p03-ch2sk1fk1fl1.tiff,r04c04f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132672,D06,4,3,3500,37,deletion,NA,r04c06f03p03-ch6sk1fk1fl1.tiff,r04c06f03p03-ch4sk1fk1fl1.tiff,r04c06f03p03-ch5sk1fk1fl1.tiff,r04c06f03p03-ch2sk1fk1fl1.tiff,r04c06f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132672,D22,4,3,3500,6,control,NA,r04c22f03p03-ch6sk1fk1fl1.tiff,r04c22f03p03-ch4sk1fk1fl1.tiff,r04c22f03p03-ch5sk1fk1fl1.tiff,r04c22f03p03-ch2sk1fk1fl1.tiff,r04c22f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132672,E02,5,3,3500,27,control,NA,r05c02f03p03-ch6sk1fk1fl1.tiff,r05c02f03p03-ch4sk1fk1fl1.tiff,r05c02f03p03-ch5sk1fk1fl1.tiff,r05c02f03p03-ch2sk1fk1fl1.tiff,r05c02f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132672,E04,5,3,3500,41,control,NA,r05c04f03p03-ch6sk1fk1fl1.tiff,r05c04f03p03-ch4sk1fk1fl1.tiff,r05c04f03p03-ch5sk1fk1fl1.tiff,r05c04f03p03-ch2sk1fk1fl1.tiff,r05c04f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132672,E20,5,3,3500,22,control,NA,r05c20f03p03-ch6sk1fk1fl1.tiff,r05c20f03p03-ch4sk1fk1fl1.tiff,r05c20f03p03-ch5sk1fk1fl1.tiff,r05c20f03p03-ch2sk1fk1fl1.tiff,r05c20f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132672,F22,6,3,3500,3,control,NA,r06c22f03p03-ch6sk1fk1fl1.tiff,r06c22f03p03-ch4sk1fk1fl1.tiff,r06c22f03p03-ch5sk1fk1fl1.tiff,r06c22f03p03-ch2sk1fk1fl1.tiff,r06c22f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132672,G11,7,3,3500,17,control,NA,r07c11f03p03-ch6sk1fk1fl1.tiff,r07c11f03p03-ch4sk1fk1fl1.tiff,r07c11f03p03-ch5sk1fk1fl1.tiff,r07c11f03p03-ch2sk1fk1fl1.tiff,r07c11f03p03-ch1sk1fk1fl1.tiff
2022_03_03_NCP_NEURONS_2_20x,BR00132672,H07,8,3,3500,19,control,NA,r08c07f03p03-ch6sk1fk1fl1.tiff,r08c07f03p03-ch4sk1fk1fl1.tiff,r08c07f03p03-ch5sk1fk1fl1.tiff,r08c07f03p03-ch2sk1fk1fl1.tiff,r08c07f03p03-ch1sk1fk1fl1.tiff
