id1,id2,correlation,Metadata_compound_ID1,Metadata_line_condition1,Metadata_plating_density1,Metadata_compound_ID2,Metadata_line_condition2,Metadata_plating_density2,Count_Cells1,Count_Cells2,cell_count_abs_diff,cell_count_sum
16,13,0.9896954722229417,BRD-K21680192-300-14-4,deletion,10000,BRD-K21680192-300-14-4,deletion,2500,251,354,103,605
12,9,0.9661383887290198,BRD-K21680192-300-14-4,control,10000,BRD-K21680192-300-14-4,control,2500,740,184.5,555.5,924.5
12,11,0.9633970169672604,BRD-K21680192-300-14-4,control,10000,BRD-K21680192-300-14-4,control,7500,740,297,443,1037
14,9,0.9599729368050799,BRD-K21680192-300-14-4,deletion,5000,BRD-K21680192-300-14-4,control,2500,476,184.5,291.5,660.5
15,14,0.9586612099258682,BRD-K21680192-300-14-4,deletion,7500,BRD-K21680192-300-14-4,deletion,5000,489,476,13,965
16,14,0.9530755801958022,BRD-K21680192-300-14-4,deletion,10000,BRD-K21680192-300-14-4,deletion,5000,251,476,225,727
14,13,0.952819252560748,BRD-K21680192-300-14-4,deletion,5000,BRD-K21680192-300-14-4,deletion,2500,476,354,122,830
10,9,0.9508600720684643,BRD-K21680192-300-14-4,control,5000,BRD-K21680192-300-14-4,control,2500,261,184.5,76.5,445.5
14,12,0.9492792790021488,BRD-K21680192-300-14-4,deletion,5000,BRD-K21680192-300-14-4,control,10000,476,740,264,1216
12,10,0.9459260437063118,BRD-K21680192-300-14-4,control,10000,BRD-K21680192-300-14-4,control,5000,740,261,479,1001
11,9,0.9412427300066758,BRD-K21680192-300-14-4,control,7500,BRD-K21680192-300-14-4,control,2500,297,184.5,112.5,481.5
15,9,0.9309819487291434,BRD-K21680192-300-14-4,deletion,7500,BRD-K21680192-300-14-4,control,2500,489,184.5,304.5,673.5
13,9,0.92993498266766506,BRD-K21680192-300-14-4,deletion,2500,BRD-K21680192-300-14-4,control,2500,354,184.5,169.5,538.5
16,9,0.9255175911150108,BRD-K21680192-300-14-4,deletion,10000,BRD-K21680192-300-14-4,control,2500,251,184.5,66.5,435.5
14,10,0.9245283153429216,BRD-K21680192-300-14-4,deletion,5000,BRD-K21680192-300-14-4,control,5000,476,261,215,737
11,10,0.920911952775597,BRD-K21680192-300-14-4,control,7500,BRD-K21680192-300-14-4,control,5000,297,261,36,558
16,15,0.9206169865605003,BRD-K21680192-300-14-4,deletion,10000,BRD-K21680192-300-14-4,deletion,7500,251,489,238,740
15,13,0.9189052513197269,BRD-K21680192-300-14-4,deletion,7500,BRD-K21680192-300-14-4,deletion,2500,489,354,135,843
15,12,0.918182893153066,BRD-K21680192-300-14-4,deletion,7500,BRD-K21680192-300-14-4,control,10000,489,740,251,1229
14,11,0.9002578933293754,BRD-K21680192-300-14-4,deletion,5000,BRD-K21680192-300-14-4,control,7500,476,297,179,773
15,11,0.8945655878386864,BRD-K21680192-300-14-4,deletion,7500,BRD-K21680192-300-14-4,control,7500,489,297,192,786
16,12,0.8884263856516375,BRD-K21680192-300-14-4,deletion,10000,BRD-K21680192-300-14-4,control,10000,251,740,489,991
13,12,0.8875415776244284,BRD-K21680192-300-14-4,deletion,2500,BRD-K21680192-300-14-4,control,10000,354,740,386,1094
40,8,0.8851573267282097,NA,deletion,10000,BRD-K15108141-003-04-7,deletion,10000,886.5,1054,167.5,1940.5
40,39,0.8837822958954669,NA,deletion,10000,NA,deletion,7500,886.5,779,107.5,1665.5
13,10,0.8781711438764482,BRD-K21680192-300-14-4,deletion,2500,BRD-K21680192-300-14-4,control,5000,354,261,93,615
15,10,0.8669090824872192,BRD-K21680192-300-14-4,deletion,7500,BRD-K21680192-300-14-4,control,5000,489,261,228,750
16,10,0.8615177209655713,BRD-K21680192-300-14-4,deletion,10000,BRD-K21680192-300-14-4,control,5000,251,261,10,512
40,32,0.8452755652817409,NA,deletion,10000,BRD-K79131256-001-17-9,deletion,10000,886.5,888,1.5,1774.5
32,31,0.8414096470104346,BRD-K79131256-001-17-9,deletion,10000,BRD-K79131256-001-17-9,deletion,7500,888,1032,144,1920
32,8,0.8238804719300654,BRD-K79131256-001-17-9,deletion,10000,BRD-K15108141-003-04-7,deletion,10000,888,1054,166,1942
13,11,0.8236126969609981,BRD-K21680192-300-14-4,deletion,2500,BRD-K21680192-300-14-4,control,7500,354,297,57,651
16,11,0.8177736886656125,BRD-K21680192-300-14-4,deletion,10000,BRD-K21680192-300-14-4,control,7500,251,297,46,548
39,38,0.8027059174370541,NA,deletion,7500,NA,deletion,5000,779,833.5,54.5,1612.5
40,31,0.7975115172148354,NA,deletion,10000,BRD-K79131256-001-17-9,deletion,7500,886.5,1032,145.5,1918.5
24,23,0.7892655237657545,BRD-K36207157-001-09-6,deletion,10000,BRD-K36207157-001-09-6,deletion,7500,951.5,767,184.5,1718.5
16,2,0.7858945749957664,BRD-K21680192-300-14-4,deletion,10000,BRD-K15108141-003-04-7,control,5000,251,252,1,503
33,25,0.7812437184679095,NA,control,2500,BRD-K79131256-001-17-9,control,2500,167,163,4,330
13,2,0.776886166037284,BRD-K21680192-300-14-4,deletion,2500,BRD-K15108141-003-04-7,control,5000,354,252,102,606
39,31,0.7758080120596467,NA,deletion,7500,BRD-K79131256-001-17-9,deletion,7500,779,1032,253,1811
33,1,0.7746889179411961,NA,control,2500,BRD-K15108141-003-04-7,control,2500,167,158.5,8.5,325.5
39,8,0.7682711439873857,NA,deletion,7500,BRD-K15108141-003-04-7,deletion,10000,779,1054,275,1833
25,1,0.75174639748435,BRD-K79131256-001-17-9,control,2500,BRD-K15108141-003-04-7,control,2500,163,158.5,4.5,321.5
34,33,0.7495449378450119,NA,control,5000,NA,control,2500,253,167,86,420
39,32,0.7475714921168498,NA,deletion,7500,BRD-K79131256-001-17-9,deletion,10000,779,888,109,1667
18,17,0.7440411865246119,BRD-K36207157-001-09-6,control,5000,BRD-K36207157-001-09-6,control,2500,222.5,138,84.5,360.5
18,2,0.7380800492602656,BRD-K36207157-001-09-6,control,5000,BRD-K15108141-003-04-7,control,5000,222.5,252,29.5,474.5
36,20,0.7289527906481867,NA,control,10000,BRD-K36207157-001-09-6,control,10000,536.5,506.5,30,1043
40,24,0.7273040141712827,NA,deletion,10000,BRD-K36207157-001-09-6,deletion,10000,886.5,951.5,65,1838
40,7,0.7258231512738048,NA,deletion,10000,BRD-K15108141-003-04-7,deletion,7500,886.5,904,17.5,1790.5
39,7,0.7242598067256218,NA,deletion,7500,BRD-K15108141-003-04-7,deletion,7500,779,904,125,1683
31,8,0.7166898159018507,BRD-K79131256-001-17-9,deletion,7500,BRD-K15108141-003-04-7,deletion,10000,1032,1054,22,2086
40,38,0.7147116585252854,NA,deletion,10000,NA,deletion,5000,886.5,833.5,53,1720
36,4,0.7066857785574452,NA,control,10000,BRD-K15108141-003-04-7,control,10000,536.5,581,44.5,1117.5
34,26,0.7036690992821076,NA,control,5000,BRD-K79131256-001-17-9,control,5000,253,274.5,21.5,527.5
24,22,0.7009002144393403,BRD-K36207157-001-09-6,deletion,10000,BRD-K36207157-001-09-6,deletion,5000,951.5,791,160.5,1742.5
23,22,0.6896567435343485,BRD-K36207157-001-09-6,deletion,7500,BRD-K36207157-001-09-6,deletion,5000,767,791,24,1558
29,5,0.6703494638684532,BRD-K79131256-001-17-9,deletion,2500,BRD-K15108141-003-04-7,deletion,2500,398.5,423,24.5,821.5
37,29,0.6678710078440111,NA,deletion,2500,BRD-K79131256-001-17-9,deletion,2500,406,398.5,7.5,804.5
14,2,0.6664719633077217,BRD-K21680192-300-14-4,deletion,5000,BRD-K15108141-003-04-7,control,5000,476,252,224,728
17,1,0.6592093306757029,BRD-K36207157-001-09-6,control,2500,BRD-K15108141-003-04-7,control,2500,138,158.5,20.5,296.5
15,2,0.6558055244732909,BRD-K21680192-300-14-4,deletion,7500,BRD-K15108141-003-04-7,control,5000,489,252,237,741
30,16,0.6523243025606215,BRD-K79131256-001-17-9,deletion,5000,BRD-K21680192-300-14-4,deletion,10000,769,251,518,1020
9,2,0.6514109244268483,BRD-K21680192-300-14-4,control,2500,BRD-K15108141-003-04-7,control,5000,184.5,252,67.5,436.5
20,19,0.6494186320920662,BRD-K36207157-001-09-6,control,10000,BRD-K36207157-001-09-6,control,7500,506.5,337,169.5,843.5
31,7,0.6380740985905244,BRD-K79131256-001-17-9,deletion,7500,BRD-K15108141-003-04-7,deletion,7500,1032,904,128,1936
31,24,0.6379948948723588,BRD-K79131256-001-17-9,deletion,7500,BRD-K36207157-001-09-6,deletion,10000,1032,951.5,80.5,1983.5
30,13,0.6379314832087558,BRD-K79131256-001-17-9,deletion,5000,BRD-K21680192-300-14-4,deletion,2500,769,354,415,1123
26,18,0.6375631201017092,BRD-K79131256-001-17-9,control,5000,BRD-K36207157-001-09-6,control,5000,274.5,222.5,52,497
