id1,id2,correlation,Metadata_compound_ID1,Metadata_line_condition1,Metadata_plating_density1,Metadata_compound_ID2,Metadata_line_condition2,Metadata_plating_density2,Count_Cells1,Count_Cells2,cell_count_abs_diff,cell_count_sum
39,24,0.6358575165928817,NA,deletion,7500,BRD-K36207157-001-09-6,deletion,10000,779,951.5,172.5,1730.5
26,2,0.6358020033134268,BRD-K79131256-001-17-9,control,5000,BRD-K15108141-003-04-7,control,5000,274.5,252,22.5,526.5
24,8,0.6336849756586285,BRD-K36207157-001-09-6,deletion,10000,BRD-K15108141-003-04-7,deletion,10000,951.5,1054,102.5,2005.5
36,35,0.6331421609912302,NA,control,10000,NA,control,7500,536.5,347,189.5,883.5
38,7,0.6328909002052384,NA,deletion,5000,BRD-K15108141-003-04-7,deletion,7500,833.5,904,70.5,1737.5
38,6,0.6312847019494648,NA,deletion,5000,BRD-K15108141-003-04-7,deletion,5000,833.5,780,53.5,1613.5
34,25,0.6276277142411817,NA,control,5000,BRD-K79131256-001-17-9,control,2500,253,163,90,416
39,23,0.6249715549927336,NA,deletion,7500,BRD-K36207157-001-09-6,deletion,7500,779,767,12,1546
38,31,0.6226048434397273,NA,deletion,5000,BRD-K79131256-001-17-9,deletion,7500,833.5,1032,198.5,1865.5
8,7,0.6209415695760083,BRD-K15108141-003-04-7,deletion,10000,BRD-K15108141-003-04-7,deletion,7500,1054,904,150,1958
32,24,0.6190784634018702,BRD-K79131256-001-17-9,deletion,10000,BRD-K36207157-001-09-6,deletion,10000,888,951.5,63.5,1839.5
20,4,0.616450526811621,BRD-K36207157-001-09-6,control,10000,BRD-K15108141-003-04-7,control,10000,506.5,581,74.5,1087.5
35,34,0.6139719456580577,NA,control,7500,NA,control,5000,347,253,94,600
32,7,0.6117015971198505,BRD-K79131256-001-17-9,deletion,10000,BRD-K15108141-003-04-7,deletion,7500,888,904,16,1792
37,5,0.6048888240597586,NA,deletion,2500,BRD-K15108141-003-04-7,deletion,2500,406,423,17,829
24,7,0.6024088459458359,BRD-K36207157-001-09-6,deletion,10000,BRD-K15108141-003-04-7,deletion,7500,951.5,904,47.5,1855.5
39,6,0.6017053239870284,NA,deletion,7500,BRD-K15108141-003-04-7,deletion,5000,779,780,1,1559
31,23,0.5987474277072088,BRD-K79131256-001-17-9,deletion,7500,BRD-K36207157-001-09-6,deletion,7500,1032,767,265,1799
19,18,0.5986224502341446,BRD-K36207157-001-09-6,control,7500,BRD-K36207157-001-09-6,control,5000,337,222.5,114.5,559.5
7,6,0.5986070180967338,BRD-K15108141-003-04-7,deletion,7500,BRD-K15108141-003-04-7,deletion,5000,904,780,124,1684
34,1,0.598474596675356,NA,control,5000,BRD-K15108141-003-04-7,control,2500,253,158.5,94.5,411.5
34,18,0.5921696081072925,NA,control,5000,BRD-K36207157-001-09-6,control,5000,253,222.5,30.5,475.5
40,23,0.5910922317195887,NA,deletion,10000,BRD-K36207157-001-09-6,deletion,7500,886.5,767,119.5,1653.5
23,7,0.5892378668924753,BRD-K36207157-001-09-6,deletion,7500,BRD-K15108141-003-04-7,deletion,7500,767,904,137,1671
30,15,0.5832785521631668,BRD-K79131256-001-17-9,deletion,5000,BRD-K21680192-300-14-4,deletion,7500,769,489,280,1258
34,2,0.5802263963410013,NA,control,5000,BRD-K15108141-003-04-7,control,5000,253,252,1,505
30,14,0.575525372877072,BRD-K79131256-001-17-9,deletion,5000,BRD-K21680192-300-14-4,deletion,5000,769,476,293,1245
3,2,0.5725111238478197,BRD-K15108141-003-04-7,control,7500,BRD-K15108141-003-04-7,control,5000,354.5,252,102.5,606.5
22,6,0.571667737111288,BRD-K36207157-001-09-6,deletion,5000,BRD-K15108141-003-04-7,deletion,5000,791,780,11,1571
24,6,0.564898232523533,BRD-K36207157-001-09-6,deletion,10000,BRD-K15108141-003-04-7,deletion,5000,951.5,780,171.5,1731.5
30,7,0.5645925049442416,BRD-K79131256-001-17-9,deletion,5000,BRD-K15108141-003-04-7,deletion,7500,769,904,135,1673
12,2,0.558741547089428,BRD-K21680192-300-14-4,control,10000,BRD-K15108141-003-04-7,control,5000,740,252,488,992
19,17,0.5574296470936633,BRD-K36207157-001-09-6,control,7500,BRD-K36207157-001-09-6,control,2500,337,138,199,475
34,17,0.5554231423655627,NA,control,5000,BRD-K36207157-001-09-6,control,2500,253,138,115,391
38,32,0.5532518436810828,NA,deletion,5000,BRD-K79131256-001-17-9,deletion,10000,833.5,888,54.5,1721.5
25,17,0.5488979207404318,BRD-K79131256-001-17-9,control,2500,BRD-K36207157-001-09-6,control,2500,163,138,25,301
30,6,0.5484484863487541,BRD-K79131256-001-17-9,deletion,5000,BRD-K15108141-003-04-7,deletion,5000,769,780,11,1549
26,25,0.5474326044086991,BRD-K79131256-001-17-9,control,5000,BRD-K79131256-001-17-9,control,2500,274.5,163,111.5,437.5
32,23,0.5458119978561383,BRD-K79131256-001-17-9,deletion,10000,BRD-K36207157-001-09-6,deletion,7500,888,767,121,1655
36,19,0.5441841151692579,NA,control,10000,BRD-K36207157-001-09-6,control,7500,536.5,337,199.5,873.5
23,8,0.5439289515123072,BRD-K36207157-001-09-6,deletion,7500,BRD-K15108141-003-04-7,deletion,10000,767,1054,287,1821
23,6,0.5435673615358261,BRD-K36207157-001-09-6,deletion,7500,BRD-K15108141-003-04-7,deletion,5000,767,780,13,1547
10,2,0.5431607632816449,BRD-K21680192-300-14-4,control,5000,BRD-K15108141-003-04-7,control,5000,261,252,9,513
33,17,0.5355384858275005,NA,control,2500,BRD-K36207157-001-09-6,control,2500,167,138,29,305
40,6,0.5353434874289262,NA,deletion,10000,BRD-K15108141-003-04-7,deletion,5000,886.5,780,106.5,1666.5
26,17,0.5345175356264267,BRD-K79131256-001-17-9,control,5000,BRD-K36207157-001-09-6,control,2500,274.5,138,136.5,412.5
33,26,0.524141313825115,NA,control,2500,BRD-K79131256-001-17-9,control,5000,167,274.5,107.5,441.5
35,3,0.5223573714883515,NA,control,7500,BRD-K15108141-003-04-7,control,7500,347,354.5,7.5,701.5
38,8,0.5198213600829663,NA,deletion,5000,BRD-K15108141-003-04-7,deletion,10000,833.5,1054,220.5,1887.5
28,4,0.5177634481533226,BRD-K79131256-001-17-9,control,10000,BRD-K15108141-003-04-7,control,10000,466.5,581,114.5,1047.5
21,18,0.5094037886523042,BRD-K36207157-001-09-6,deletion,2500,BRD-K36207157-001-09-6,control,5000,351.5,222.5,129,574
21,5,0.5091171099697833,BRD-K36207157-001-09-6,deletion,2500,BRD-K15108141-003-04-7,deletion,2500,351.5,423,71.5,774.5
31,6,0.5076531864480022,BRD-K79131256-001-17-9,deletion,7500,BRD-K15108141-003-04-7,deletion,5000,1032,780,252,1812
19,3,0.5067881524780026,BRD-K36207157-001-09-6,control,7500,BRD-K15108141-003-04-7,control,7500,337,354.5,17.5,691.5
18,3,0.5066411378042079,BRD-K36207157-001-09-6,control,5000,BRD-K15108141-003-04-7,control,7500,222.5,354.5,132,577
38,30,0.505928359034998,NA,deletion,5000,BRD-K79131256-001-17-9,deletion,5000,833.5,769,64.5,1602.5
11,2,0.5039196957119115,BRD-K21680192-300-14-4,control,7500,BRD-K15108141-003-04-7,control,5000,297,252,45,549
8,6,0.5016373621339212,BRD-K15108141-003-04-7,deletion,10000,BRD-K15108141-003-04-7,deletion,5000,1054,780,274,1834
35,27,0.499025801500493,NA,control,7500,BRD-K79131256-001-17-9,control,7500,347,275.5,71.5,622.5
30,2,0.4986637833451008,BRD-K79131256-001-17-9,deletion,5000,BRD-K15108141-003-04-7,control,5000,769,252,517,1021
22,7,0.49704267923299283,BRD-K36207157-001-09-6,deletion,5000,BRD-K15108141-003-04-7,deletion,7500,791,904,113,1695
38,24,0.4879883210632121,NA,deletion,5000,BRD-K36207157-001-09-6,deletion,10000,833.5,951.5,118,1785
27,19,0.48637968836179724,BRD-K79131256-001-17-9,control,7500,BRD-K36207157-001-09-6,control,7500,275.5,337,61.5,612.5
18,1,0.4860533563549269,BRD-K36207157-001-09-6,control,5000,BRD-K15108141-003-04-7,control,2500,222.5,158.5,64,381
36,27,0.4857931718574407,NA,control,10000,BRD-K79131256-001-17-9,control,7500,536.5,275.5,261,812
28,27,0.4854495104168789,BRD-K79131256-001-17-9,control,10000,BRD-K79131256-001-17-9,control,7500,466.5,275.5,191,742
19,4,0.48367714470621986,BRD-K36207157-001-09-6,control,7500,BRD-K15108141-003-04-7,control,10000,337,581,244,918
32,6,0.4793602175758708,BRD-K79131256-001-17-9,deletion,10000,BRD-K15108141-003-04-7,deletion,5000,888,780,108,1668
29,21,0.47581153073086885,BRD-K79131256-001-17-9,deletion,2500,BRD-K36207157-001-09-6,deletion,2500,398.5,351.5,47,750
30,9,0.4750043047895403,BRD-K79131256-001-17-9,deletion,5000,BRD-K21680192-300-14-4,control,2500,769,184.5,584.5,953.5
27,20,0.4735653438049061,BRD-K79131256-001-17-9,control,7500,BRD-K36207157-001-09-6,control,10000,275.5,506.5,231,782
4,3,0.4723936437576665,BRD-K15108141-003-04-7,control,10000,BRD-K15108141-003-04-7,control,7500,581,354.5,226.5,935.5
26,1,0.4686366232812407,BRD-K79131256-001-17-9,control,5000,BRD-K15108141-003-04-7,control,2500,274.5,158.5,116,433
19,2,0.4684976241675508,BRD-K36207157-001-09-6,control,7500,BRD-K15108141-003-04-7,control,5000,337,252,85,589
35,28,0.4641003029497049,NA,control,7500,BRD-K79131256-001-17-9,control,10000,347,466.5,119.5,813.5
27,26,0.46233621269075087,BRD-K79131256-001-17-9,control,7500,BRD-K79131256-001-17-9,control,5000,275.5,274.5,1,550
38,23,0.4603443169057615,NA,deletion,5000,BRD-K36207157-001-09-6,deletion,7500,833.5,767,66.5,1600.5
17,2,0.45661791986933303,BRD-K36207157-001-09-6,control,2500,BRD-K15108141-003-04-7,control,5000,138,252,114,390
35,20,0.4544062807710375,NA,control,7500,BRD-K36207157-001-09-6,control,10000,347,506.5,159.5,853.5
25,18,0.45420010658356785,BRD-K79131256-001-17-9,control,2500,BRD-K36207157-001-09-6,control,5000,163,222.5,59.5,385.5
30,12,0.4379031258896537,BRD-K79131256-001-17-9,deletion,5000,BRD-K21680192-300-14-4,control,10000,769,740,29,1509
35,18,0.4302531305719653,NA,control,7500,BRD-K36207157-001-09-6,control,5000,347,222.5,124.5,569.5
35,19,0.4302272250032098,NA,control,7500,BRD-K36207157-001-09-6,control,7500,347,337,10,684
36,28,0.42546235679194383,NA,control,10000,BRD-K79131256-001-17-9,control,10000,536.5,466.5,70,1003
21,17,0.4244202589835225,BRD-K36207157-001-09-6,deletion,2500,BRD-K36207157-001-09-6,control,2500,351.5,138,213.5,489.5
27,17,0.42243026440590004,BRD-K79131256-001-17-9,control,7500,BRD-K36207157-001-09-6,control,2500,275.5,138,137.5,413.5
27,18,0.4173020551629294,BRD-K79131256-001-17-9,control,7500,BRD-K36207157-001-09-6,control,5000,275.5,222.5,53,498
20,17,0.4168898959138698,BRD-K36207157-001-09-6,control,10000,BRD-K36207157-001-09-6,control,2500,506.5,138,368.5,644.5
35,17,0.4160451382001291,NA,control,7500,BRD-K36207157-001-09-6,control,2500,347,138,209,485
35,26,0.4118603906290476,NA,control,7500,BRD-K79131256-001-17-9,control,5000,347,274.5,72.5,621.5
18,13,0.41040157862227006,BRD-K36207157-001-09-6,control,5000,BRD-K21680192-300-14-4,deletion,2500,222.5,354,131.5,576.5
18,16,0.4084018427427173,BRD-K36207157-001-09-6,control,5000,BRD-K21680192-300-14-4,deletion,10000,222.5,251,28.5,473.5
30,10,0.40671447131093835,BRD-K79131256-001-17-9,deletion,5000,BRD-K21680192-300-14-4,control,5000,769,261,508,1030
22,21,0.4023462788094906,BRD-K36207157-001-09-6,deletion,5000,BRD-K36207157-001-09-6,deletion,2500,791,351.5,439.5,1142.5
35,4,0.40165211703208603,NA,control,7500,BRD-K15108141-003-04-7,control,10000,347,581,234,928
33,18,0.3987476390597456,NA,control,2500,BRD-K36207157-001-09-6,control,5000,167,222.5,55.5,389.5
28,20,0.3981380762819633,BRD-K79131256-001-17-9,control,10000,BRD-K36207157-001-09-6,control,10000,466.5,506.5,40,973
20,18,0.39792021070964906,BRD-K36207157-001-09-6,control,10000,BRD-K36207157-001-09-6,control,5000,506.5,222.5,284,729
27,3,0.39730378535577887,BRD-K79131256-001-17-9,control,7500,BRD-K15108141-003-04-7,control,7500,275.5,354.5,79,630
27,4,0.3935220928643831,BRD-K79131256-001-17-9,control,7500,BRD-K15108141-003-04-7,control,10000,275.5,581,305.5,856.5
17,3,0.39064524510888005,BRD-K36207157-001-09-6,control,2500,BRD-K15108141-003-04-7,control,7500,138,354.5,216.5,492.5
26,13,0.38727273884601315,BRD-K79131256-001-17-9,control,5000,BRD-K21680192-300-14-4,deletion,2500,274.5,354,79.5,628.5
31,22,0.38678122177799656,BRD-K79131256-001-17-9,deletion,7500,BRD-K36207157-001-09-6,deletion,5000,1032,791,241,1823
26,16,0.3795379920262916,BRD-K79131256-001-17-9,control,5000,BRD-K21680192-300-14-4,deletion,10000,274.5,251,23.5,525.5
30,22,0.3761120084582393,BRD-K79131256-001-17-9,deletion,5000,BRD-K36207157-001-09-6,deletion,5000,769,791,22,1560
16,3,0.3722953584445213,BRD-K21680192-300-14-4,deletion,10000,BRD-K15108141-003-04-7,control,7500,251,354.5,103.5,605.5
26,3,0.3707295663641315,BRD-K79131256-001-17-9,control,5000,BRD-K15108141-003-04-7,control,7500,274.5,354.5,80,629
19,9,0.3692172757838132,BRD-K36207157-001-09-6,control,7500,BRD-K21680192-300-14-4,control,2500,337,184.5,152.5,521.5
38,22,0.36891332652719533,NA,deletion,5000,BRD-K36207157-001-09-6,deletion,5000,833.5,791,42.5,1624.5
39,30,0.3624132455914443,NA,deletion,7500,BRD-K79131256-001-17-9,deletion,5000,779,769,10,1548
35,1,0.36085781890927626,NA,control,7500,BRD-K15108141-003-04-7,control,2500,347,158.5,188.5,505.5
30,11,0.35749373396447937,BRD-K79131256-001-17-9,deletion,5000,BRD-K21680192-300-14-4,control,7500,769,297,472,1066
36,3,0.35723256999463127,NA,control,10000,BRD-K15108141-003-04-7,control,7500,536.5,354.5,182,891
35,2,0.35370676594775174,NA,control,7500,BRD-K15108141-003-04-7,control,5000,347,252,95,599
26,9,0.3528067584113044,BRD-K79131256-001-17-9,control,5000,BRD-K21680192-300-14-4,control,2500,274.5,184.5,90,459
13,3,0.3487754638502069,BRD-K21680192-300-14-4,deletion,2500,BRD-K15108141-003-04-7,control,7500,354,354.5,0.5,708.5
19,12,0.3486953590099481,BRD-K36207157-001-09-6,control,7500,BRD-K21680192-300-14-4,control,10000,337,740,403,1077
27,25,0.34760590236286354,BRD-K79131256-001-17-9,control,7500,BRD-K79131256-001-17-9,control,2500,275.5,163,112.5,438.5
40,22,0.3459473596104551,NA,deletion,10000,BRD-K36207157-001-09-6,deletion,5000,886.5,791,95.5,1677.5
34,27,0.3441113141461245,NA,control,5000,BRD-K79131256-001-17-9,control,7500,253,275.5,22.5,528.5
19,11,0.34358139383618264,BRD-K36207157-001-09-6,control,7500,BRD-K21680192-300-14-4,control,7500,337,297,40,634
18,9,0.34155127338070435,BRD-K36207157-001-09-6,control,5000,BRD-K21680192-300-14-4,control,2500,222.5,184.5,38,407
19,16,0.33669873798278155,BRD-K36207157-001-09-6,control,7500,BRD-K21680192-300-14-4,deletion,10000,337,251,86,588
39,22,0.33434147352766597,NA,deletion,7500,BRD-K36207157-001-09-6,deletion,5000,779,791,12,1570
34,3,0.3329221084504053,NA,control,5000,BRD-K15108141-003-04-7,control,7500,253,354.5,101.5,607.5
27,1,0.33022471864232933,BRD-K79131256-001-17-9,control,7500,BRD-K15108141-003-04-7,control,2500,275.5,158.5,117,434
28,26,0.32815114249152616,BRD-K79131256-001-17-9,control,10000,BRD-K79131256-001-17-9,control,5000,466.5,274.5,192,741
29,26,0.32613618261453453,BRD-K79131256-001-17-9,deletion,2500,BRD-K79131256-001-17-9,control,5000,398.5,274.5,124,673
26,15,0.3258909608068918,BRD-K79131256-001-17-9,control,5000,BRD-K21680192-300-14-4,deletion,7500,274.5,489,214.5,763.5
31,30,0.3255581448939462,BRD-K79131256-001-17-9,deletion,7500,BRD-K79131256-001-17-9,deletion,5000,1032,769,263,1801
26,19,0.3253050997309243,BRD-K79131256-001-17-9,control,5000,BRD-K36207157-001-09-6,control,7500,274.5,337,62.5,611.5
26,21,0.3236036187224136,BRD-K79131256-001-17-9,control,5000,BRD-K36207157-001-09-6,deletion,2500,274.5,351.5,77,626
26,14,0.32047813649969126,BRD-K79131256-001-17-9,control,5000,BRD-K21680192-300-14-4,deletion,5000,274.5,476,201.5,750.5
32,22,0.3178954258611101,BRD-K79131256-001-17-9,deletion,10000,BRD-K36207157-001-09-6,deletion,5000,888,791,97,1679
19,13,0.3173864865078724,BRD-K36207157-001-09-6,control,7500,BRD-K21680192-300-14-4,deletion,2500,337,354,17,691
19,10,0.3140416047848922,BRD-K36207157-001-09-6,control,7500,BRD-K21680192-300-14-4,control,5000,337,261,76,598
35,33,0.3110408376186098,NA,control,7500,NA,control,2500,347,167,180,514
21,2,0.3109297502068839,BRD-K36207157-001-09-6,deletion,2500,BRD-K15108141-003-04-7,control,5000,351.5,252,99.5,603.5
19,1,0.3099664891222354,BRD-K36207157-001-09-6,control,7500,BRD-K15108141-003-04-7,control,2500,337,158.5,178.5,495.5
21,1,0.3098614305250753,BRD-K36207157-001-09-6,deletion,2500,BRD-K15108141-003-04-7,control,2500,351.5,158.5,193,510
28,3,0.30900631620590663,BRD-K79131256-001-17-9,control,10000,BRD-K15108141-003-04-7,control,7500,466.5,354.5,112,821
19,14,0.30881815766680754,BRD-K36207157-001-09-6,control,7500,BRD-K21680192-300-14-4,deletion,5000,337,476,139,813
27,2,0.3066556881774575,BRD-K79131256-001-17-9,control,7500,BRD-K15108141-003-04-7,control,5000,275.5,252,23.5,527.5
28,18,0.3049577206470542,BRD-K79131256-001-17-9,control,10000,BRD-K36207157-001-09-6,control,5000,466.5,222.5,244,689
20,3,0.30403749966403204,BRD-K36207157-001-09-6,control,10000,BRD-K15108141-003-04-7,control,7500,506.5,354.5,152,861
14,3,0.30225275915838073,BRD-K21680192-300-14-4,deletion,5000,BRD-K15108141-003-04-7,control,7500,476,354.5,121.5,830.5
18,14,0.29949963205842806,BRD-K36207157-001-09-6,control,5000,BRD-K21680192-300-14-4,deletion,5000,222.5,476,253.5,698.5
16,7,0.2980159374684,BRD-K21680192-300-14-4,deletion,10000,BRD-K15108141-003-04-7,deletion,7500,251,904,653,1155
25,5,0.28735861293859716,BRD-K79131256-001-17-9,control,2500,BRD-K15108141-003-04-7,deletion,2500,163,423,260,586
18,15,0.2859947124002009,BRD-K36207157-001-09-6,control,5000,BRD-K21680192-300-14-4,deletion,7500,222.5,489,266.5,711.5
26,5,0.2851141979830464,BRD-K79131256-001-17-9,control,5000,BRD-K15108141-003-04-7,deletion,2500,274.5,423,148.5,697.5
