Metadata_LINE_ID,Metadata_GENOTYPE,Nuclei_ObjectSkeleton_NumberBranchEnds_CellImageSkel,Nuclei_ObjectSkeleton_NumberNonTrunkBranches_CellImageSkel,Nuclei_ObjectSkeleton_NumberTrunks_CellImageSkel,Nuclei_ObjectSkeleton_TotalObjectSkeletonLength_CellImageSkel
1,1,-0.5765193750000001,-0.4906396249999999,-0.04985562499999999,-0.7172206875000001
2,1,0.24457062499999996,0.2990230625,0.3926564375,0.27975275
3,0,0.6161992624999999,0.8379391875,0.6158845,0.41120670625
4,1,-0.4920922499999999,-0.23545868749999987,-0.26518437499999997,-0.6146482062499998
5,0,0.829152625,1.141113125,0.274323125,0.787136625
6,0,-0.1059914375,-0.13621374999999997,-0.463585625,-0.06391108124999997
7,0,0.5152571375,0.5759806875000001,0.12477562499999997,0.4782950625
8,1,0.204996625,0.16997912499999998,0.03757456250000002,0.05156356250000002
9,0,0.16527295625,0.13070793749999998,-0.22239381250000004,0.028356625000000003
10,0,-0.19173268125000004,-0.11735906249999997,-0.03297131249999999,-0.28672506249999996
11,0,-0.016559156250000002,0.059965062499999985,0.019347937499999995,-0.01390593750000001
12,0,0.39357125,0.5559095625000001,0.484165,0.117467825
13,1,-0.14258375,-0.025398031249999998,-0.5527725,0.05645733749999999
14,0,-0.086411,0.059203718749999995,-0.430289375,-0.20970431250000002
15,1,0.07211059999999994,0.08976243749999999,0.025075624999999997,0.10693937499999998
16,1,-0.20868187500000002,-0.08982468750000001,0.0773081875,-0.1385776875
17,0,-0.379893044375,-0.32906525000000003,-0.5782465625,-0.42015549999999996
18,1,-0.14903040625000002,-0.12529087499999997,0.5721256874999999,-0.3271925
19,0,0.32098312500000004,0.33797156250000004,-0.08506850000000002,0.2829896375
20,0,0.78954425,0.7542619687500003,0.30696175,0.7420988749999999
21,0,0.8525768125000001,0.829834125,0.241868625,0.69564625
22,0,0.590769375,0.6176562499999999,-0.39726649999999997,0.66054425
23,1,-0.251783125,-0.1403968125,0.05534756250000002,-0.42811562499999994
24,0,-0.4250788749999999,-0.383560175,-0.10191318749999997,-0.53334525
25,0,-0.20643599999999998,-0.13023443750000002,-1.0376133125,-0.10833587499999998
26,0,-0.2960148125,-0.2169065,-0.93635261875,-0.20312812500000002
27,0,-0.30388874999999993,-0.173216875,-0.7810262500000001,-0.145016895625
28,0,1.5144073062499999,1.4852181249999998,-0.33771318749999996,1.8533331250000002
29,0,-0.18813918750000005,0.04199424999999997,0.4628125,-0.33110105
30,0,0.14793225,0.152511,-0.05643181250000002,0.20877174999999998
31,0,0.754546875,0.6014268125000001,-0.1959843125,0.7529549375
32,0,0.18035386250000002,0.2553036875,-0.253206625,0.358236275
33,1,0.61228375,0.62948375,-0.08982874999999998,0.5319061250000001
34,1,0.6036361875,0.64079,0.552712625,0.327781375
35,1,0.91050375,1.18683375,0.3071740625,0.7933918750000001
36,1,-0.29061999999999993,-0.0882748125,-0.18800456250000008,-0.5081927500000002
37,1,0.4315061068750001,0.5015155312499999,-0.23826228124999999,0.83391375
38,1,0.08522325000000001,0.09969831249999998,-0.010640881250000025,-0.04991782499999996
39,0,-0.5250261875,-0.44736024999999996,-0.6178262499999999,-0.443103375
40,0,0.08834706249999998,0.206922875,0.6523474375000001,-0.14909331250000002
41,0,0.16811312500000003,0.40027818750000005,0.52096625,-0.0320326875
42,1,-0.13565493750000002,-0.14088020000000004,-0.010463687500000006,-0.0620086875
43,0,1.4222126874999999,1.4703418750000004,1.189073125,1.076688
44,1,0.6117975,0.687286875,-0.37566125,0.639116395625
45,1,0.7928523749999999,0.837437125,-0.23008131250000002,0.8717524999999999
46,0,-0.18421062500000002,-0.04962062499999996,0.46477937499999994,-0.16886956250000001
47,1,0.12074844374999998,0.13969612499999992,-0.35013099999999997,0.40632125
48,1,0.631595,0.7214246875,-0.1591888125,0.56251875
