plate_map_name	well_position	plating_density	condition
IFMARKERS	A01	5000	no_glia
IFMARKERS	A02	5000	no_glia
IFMARKERS	A03	5000	no_glia
IFMARKERS	A04	5000	no_glia
IFMARKERS	A05	5000	no_glia
IFMARKERS	A06	5000	no_glia
IFMARKERS	A07	5000	no_glia
IFMARKERS	A08	5000	no_glia
IFMARKERS	A09	10000	no_glia
IFMARKERS	A10	10000	no_glia
IFMARKERS	A11	10000	no_glia
IFMARKERS	A12	10000	no_glia
IFMARKERS	A13	10000	no_glia
IFMARKERS	A14	10000	no_glia
IFMARKERS	A15	10000	no_glia
IFMARKERS	A16	10000	no_glia
IFMARKERS	A17	15000	no_glia
IFMARKERS	A18	15000	no_glia
IFMARKERS	A19	15000	no_glia
IFMARKERS	A20	15000	no_glia
IFMARKERS	A21	15000	no_glia
IFMARKERS	A22	15000	no_glia
IFMARKERS	A23	15000	no_glia
IFMARKERS	A24	15000	no_glia
IFMARKERS	B01	5000	no_glia
IFMARKERS	B02	5000	no_glia
IFMARKERS	B03	5000	no_glia
IFMARKERS	B04	5000	no_glia
IFMARKERS	B05	5000	no_glia
IFMARKERS	B06	5000	no_glia
IFMARKERS	B07	5000	no_glia
IFMARKERS	B08	5000	no_glia
IFMARKERS	B09	10000	no_glia
IFMARKERS	B10	10000	no_glia
IFMARKERS	B11	10000	no_glia
IFMARKERS	B12	10000	no_glia
IFMARKERS	B13	10000	no_glia
IFMARKERS	B14	10000	no_glia
IFMARKERS	B15	10000	no_glia
IFMARKERS	B16	10000	no_glia
IFMARKERS	B17	15000	no_glia
IFMARKERS	B18	15000	no_glia
IFMARKERS	B19	15000	no_glia
IFMARKERS	B20	15000	no_glia
IFMARKERS	B21	15000	no_glia
IFMARKERS	B22	15000	no_glia
IFMARKERS	B23	15000	no_glia
IFMARKERS	B24	15000	no_glia
IFMARKERS	C01	5000	no_glia
IFMARKERS	C02	5000	no_glia
IFMARKERS	C03	5000	no_glia
IFMARKERS	C04	5000	no_glia
IFMARKERS	C05	5000	no_glia
IFMARKERS	C06	5000	no_glia
IFMARKERS	C07	5000	no_glia
IFMARKERS	C08	5000	no_glia
IFMARKERS	C09	10000	no_glia
IFMARKERS	C10	10000	no_glia
IFMARKERS	C11	10000	no_glia
IFMARKERS	C12	10000	no_glia
IFMARKERS	C13	10000	no_glia
IFMARKERS	C14	10000	no_glia
IFMARKERS	C15	10000	no_glia
IFMARKERS	C16	10000	no_glia
IFMARKERS	C17	15000	no_glia
IFMARKERS	C18	15000	no_glia
IFMARKERS	C19	15000	no_glia
IFMARKERS	C20	15000	no_glia
IFMARKERS	C21	15000	no_glia
IFMARKERS	C22	15000	no_glia
IFMARKERS	C23	15000	no_glia
IFMARKERS	C24	15000	no_glia
IFMARKERS	D01	5000	no_glia
IFMARKERS	D02	5000	no_glia
IFMARKERS	D03	5000	no_glia
IFMARKERS	D04	5000	no_glia
IFMARKERS	D05	5000	no_glia
IFMARKERS	D06	5000	no_glia
IFMARKERS	D07	5000	no_glia
IFMARKERS	D08	5000	no_glia
IFMARKERS	D09	10000	no_glia
IFMARKERS	D10	10000	no_glia
IFMARKERS	D11	10000	no_glia
IFMARKERS	D12	10000	no_glia
IFMARKERS	D13	10000	no_glia
IFMARKERS	D14	10000	no_glia
IFMARKERS	D15	10000	no_glia
IFMARKERS	D16	10000	no_glia
IFMARKERS	D17	15000	no_glia
IFMARKERS	D18	15000	no_glia
IFMARKERS	D19	15000	no_glia
IFMARKERS	D20	15000	no_glia
IFMARKERS	D21	15000	no_glia
IFMARKERS	D22	15000	no_glia
IFMARKERS	D23	15000	no_glia
IFMARKERS	D24	15000	no_glia
IFMARKERS	E01	5000	no_glia
IFMARKERS	E02	5000	no_glia
IFMARKERS	E03	5000	no_glia
IFMARKERS	E04	5000	no_glia
IFMARKERS	E05	5000	no_glia
IFMARKERS	E06	5000	no_glia
IFMARKERS	E07	5000	no_glia
IFMARKERS	E08	5000	no_glia
IFMARKERS	E09	10000	no_glia
IFMARKERS	E10	10000	no_glia
IFMARKERS	E11	10000	no_glia
IFMARKERS	E12	10000	no_glia
IFMARKERS	E13	10000	no_glia
IFMARKERS	E14	10000	no_glia
IFMARKERS	E15	10000	no_glia
IFMARKERS	E16	10000	no_glia
IFMARKERS	E17	15000	no_glia
IFMARKERS	E18	15000	no_glia
IFMARKERS	E19	15000	no_glia
IFMARKERS	E20	15000	no_glia
IFMARKERS	E21	15000	no_glia
IFMARKERS	E22	15000	no_glia
IFMARKERS	E23	15000	no_glia
IFMARKERS	E24	15000	no_glia
IFMARKERS	F01	5000	no_glia
IFMARKERS	F02	5000	no_glia
IFMARKERS	F03	5000	no_glia
IFMARKERS	F04	5000	no_glia
IFMARKERS	F05	5000	no_glia
IFMARKERS	F06	5000	no_glia
IFMARKERS	F07	5000	no_glia
IFMARKERS	F08	5000	no_glia
IFMARKERS	F09	10000	no_glia
IFMARKERS	F10	10000	no_glia
IFMARKERS	F11	10000	no_glia
IFMARKERS	F12	10000	no_glia
IFMARKERS	F13	10000	no_glia
IFMARKERS	F14	10000	no_glia
IFMARKERS	F15	10000	no_glia
IFMARKERS	F16	10000	no_glia
IFMARKERS	F17	15000	no_glia
IFMARKERS	F18	15000	no_glia
IFMARKERS	F19	15000	no_glia
IFMARKERS	F20	15000	no_glia
IFMARKERS	F21	15000	no_glia
IFMARKERS	F22	15000	no_glia
IFMARKERS	F23	15000	no_glia
IFMARKERS	F24	15000	no_glia
IFMARKERS	G01	5000	no_glia
IFMARKERS	G02	5000	no_glia
IFMARKERS	G03	5000	no_glia
IFMARKERS	G04	5000	no_glia
IFMARKERS	G05	5000	no_glia
IFMARKERS	G06	5000	no_glia
IFMARKERS	G07	5000	no_glia
IFMARKERS	G08	5000	no_glia
IFMARKERS	G09	10000	no_glia
IFMARKERS	G10	10000	no_glia
IFMARKERS	G11	10000	no_glia
IFMARKERS	G12	10000	no_glia
IFMARKERS	G13	10000	no_glia
IFMARKERS	G14	10000	no_glia
IFMARKERS	G15	10000	no_glia
IFMARKERS	G16	10000	no_glia
IFMARKERS	G17	15000	no_glia
IFMARKERS	G18	15000	no_glia
IFMARKERS	G19	15000	no_glia
IFMARKERS	G20	15000	no_glia
IFMARKERS	G21	15000	no_glia
IFMARKERS	G22	15000	no_glia
IFMARKERS	G23	15000	no_glia
IFMARKERS	G24	15000	no_glia
IFMARKERS	H01	5000	no_glia
IFMARKERS	H02	5000	no_glia
IFMARKERS	H03	5000	no_glia
IFMARKERS	H04	5000	no_glia
IFMARKERS	H05	5000	no_glia
IFMARKERS	H06	5000	no_glia
IFMARKERS	H07	5000	no_glia
IFMARKERS	H08	5000	no_glia
IFMARKERS	H09	10000	no_glia
IFMARKERS	H10	10000	no_glia
IFMARKERS	H11	10000	no_glia
IFMARKERS	H12	10000	no_glia
IFMARKERS	H13	10000	no_glia
IFMARKERS	H14	10000	no_glia
IFMARKERS	H15	10000	no_glia
IFMARKERS	H16	10000	no_glia
IFMARKERS	H17	15000	no_glia
IFMARKERS	H18	15000	no_glia
IFMARKERS	H19	15000	no_glia
IFMARKERS	H20	15000	no_glia
IFMARKERS	H21	15000	no_glia
IFMARKERS	H22	15000	no_glia
IFMARKERS	H23	15000	no_glia
IFMARKERS	H24	15000	no_glia
IFMARKERS	I01	5000	glia
IFMARKERS	I02	5000	glia
IFMARKERS	I03	5000	glia
IFMARKERS	I04	5000	glia
IFMARKERS	I05	5000	glia
IFMARKERS	I06	5000	glia
IFMARKERS	I07	5000	glia
IFMARKERS	I08	5000	glia
IFMARKERS	I09	10000	glia
IFMARKERS	I10	10000	glia
IFMARKERS	I11	10000	glia
IFMARKERS	I12	10000	glia
IFMARKERS	I13	10000	glia
IFMARKERS	I14	10000	glia
IFMARKERS	I15	10000	glia
IFMARKERS	I16	10000	glia
IFMARKERS	I17	15000	glia
IFMARKERS	I18	15000	glia
IFMARKERS	I19	15000	glia
IFMARKERS	I20	15000	glia
IFMARKERS	I21	15000	glia
IFMARKERS	I22	15000	glia
