plate_map_name	well_position	plating_density	condition
CELLPAINTING	A01	5000	no_glia
CELLPAINTING	A02	5000	no_glia
CELLPAINTING	A03	5000	no_glia
CELLPAINTING	A04	5000	no_glia
CELLPAINTING	A05	5000	no_glia
CELLPAINTING	A06	5000	no_glia
CELLPAINTING	A07	5000	no_glia
CELLPAINTING	A08	5000	no_glia
CELLPAINTING	A09	10000	no_glia
CELLPAINTING	A10	10000	no_glia
CELLPAINTING	A11	10000	no_glia
CELLPAINTING	A12	10000	no_glia
CELLPAINTING	A13	10000	no_glia
CELLPAINTING	A14	10000	no_glia
CELLPAINTING	A15	10000	no_glia
CELLPAINTING	A16	10000	no_glia
CELLPAINTING	A17	15000	no_glia
CELLPAINTING	A18	15000	no_glia
CELLPAINTING	A19	15000	no_glia
CELLPAINTING	A20	15000	no_glia
CELLPAINTING	A21	15000	no_glia
CELLPAINTING	A22	15000	no_glia
CELLPAINTING	A23	15000	no_glia
CELLPAINTING	A24	15000	no_glia
CELLPAINTING	B01	5000	no_glia
CELLPAINTING	B02	5000	no_glia
CELLPAINTING	B03	5000	no_glia
CELLPAINTING	B04	5000	no_glia
CELLPAINTING	B05	5000	no_glia
CELLPAINTING	B06	5000	no_glia
CELLPAINTING	B07	5000	no_glia
CELLPAINTING	B08	5000	no_glia
CELLPAINTING	B09	10000	no_glia
CELLPAINTING	B10	10000	no_glia
CELLPAINTING	B11	10000	no_glia
CELLPAINTING	B12	10000	no_glia
CELLPAINTING	B13	10000	no_glia
CELLPAINTING	B14	10000	no_glia
CELLPAINTING	B15	10000	no_glia
CELLPAINTING	B16	10000	no_glia
CELLPAINTING	B17	15000	no_glia
CELLPAINTING	B18	15000	no_glia
CELLPAINTING	B19	15000	no_glia
CELLPAINTING	B20	15000	no_glia
CELLPAINTING	B21	15000	no_glia
CELLPAINTING	B22	15000	no_glia
CELLPAINTING	B23	15000	no_glia
CELLPAINTING	B24	15000	no_glia
CELLPAINTING	C01	5000	no_glia
CELLPAINTING	C02	5000	no_glia
CELLPAINTING	C03	5000	no_glia
CELLPAINTING	C04	5000	no_glia
CELLPAINTING	C05	5000	no_glia
CELLPAINTING	C06	5000	no_glia
CELLPAINTING	C07	5000	no_glia
CELLPAINTING	C08	5000	no_glia
CELLPAINTING	C09	10000	no_glia
CELLPAINTING	C10	10000	no_glia
CELLPAINTING	C11	10000	no_glia
CELLPAINTING	C12	10000	no_glia
CELLPAINTING	C13	10000	no_glia
CELLPAINTING	C14	10000	no_glia
CELLPAINTING	C15	10000	no_glia
CELLPAINTING	C16	10000	no_glia
CELLPAINTING	C17	15000	no_glia
CELLPAINTING	C18	15000	no_glia
CELLPAINTING	C19	15000	no_glia
CELLPAINTING	C20	15000	no_glia
CELLPAINTING	C21	15000	no_glia
CELLPAINTING	C22	15000	no_glia
CELLPAINTING	C23	15000	no_glia
CELLPAINTING	C24	15000	no_glia
CELLPAINTING	D01	5000	no_glia
CELLPAINTING	D02	5000	no_glia
CELLPAINTING	D03	5000	no_glia
CELLPAINTING	D04	5000	no_glia
CELLPAINTING	D05	5000	no_glia
CELLPAINTING	D06	5000	no_glia
CELLPAINTING	D07	5000	no_glia
CELLPAINTING	D08	5000	no_glia
CELLPAINTING	D09	10000	no_glia
CELLPAINTING	D10	10000	no_glia
CELLPAINTING	D11	10000	no_glia
CELLPAINTING	D12	10000	no_glia
CELLPAINTING	D13	10000	no_glia
CELLPAINTING	D14	10000	no_glia
