Metadata_Plate_Map_Name,Metadata_line_condition,Metadata_compound_ID,Metadata_plating_density,correlation
BR_NCP_PILOT_3,control,BRD-K15108141-003-04-7,2500,0.4420957334039435
BR_NCP_PILOT_3,control,BRD-K15108141-003-04-7,5000,0.48600060042140714
BR_NCP_PILOT_3,control,BRD-K15108141-003-04-7,7500,0.11204661196056404
BR_NCP_PILOT_3,control,BRD-K15108141-003-04-7,10000,0.17536474070701302
BR_NCP_PILOT_3,control,BRD-K21680192-300-14-4,2500,0.6671068032091556
BR_NCP_PILOT_3,control,BRD-K21680192-300-14-4,5000,0.35486319836559144
BR_NCP_PILOT_3,control,BRD-K21680192-300-14-4,7500,0.6574253824841902
BR_NCP_PILOT_3,control,BRD-K21680192-300-14-4,10000,0.8202007983743811
BR_NCP_PILOT_3,control,BRD-K36207157-001-09-6,2500,0.4737862259383876
BR_NCP_PILOT_3,control,BRD-K36207157-001-09-6,5000,0.5440032957385279
BR_NCP_PILOT_3,control,BRD-K36207157-001-09-6,7500,0.44753841079772305
BR_NCP_PILOT_3,control,BRD-K36207157-001-09-6,10000,0.23637156465848588
BR_NCP_PILOT_3,control,BRD-K79131256-001-17-9,2500,0.40316593499732434
BR_NCP_PILOT_3,control,BRD-K79131256-001-17-9,5000,0.2891608052957574
BR_NCP_PILOT_3,control,BRD-K79131256-001-17-9,7500,0.1283346192012729
BR_NCP_PILOT_3,control,BRD-K79131256-001-17-9,10000,0.051329276083465304
BR_NCP_PILOT_3,control,NA,2500,0.3860757492332952
BR_NCP_PILOT_3,control,NA,5000,0.2654205697027146
BR_NCP_PILOT_3,control,NA,7500,0.16132540391762445
BR_NCP_PILOT_3,control,NA,10000,0.12348954918635649
BR_NCP_PILOT_3,deletion,BRD-K15108141-003-04-7,2500,0.12282235142861184
BR_NCP_PILOT_3,deletion,BRD-K15108141-003-04-7,5000,0.43662335150552045
BR_NCP_PILOT_3,deletion,BRD-K15108141-003-04-7,7500,0.1429106375151265
BR_NCP_PILOT_3,deletion,BRD-K15108141-003-04-7,10000,0.29917608492692527
BR_NCP_PILOT_3,deletion,BRD-K21680192-300-14-4,2500,0.37205752090689237
BR_NCP_PILOT_3,deletion,BRD-K21680192-300-14-4,5000,0.4398290882347559
BR_NCP_PILOT_3,deletion,BRD-K21680192-300-14-4,7500,0.6414846778823101
BR_NCP_PILOT_3,deletion,BRD-K21680192-300-14-4,10000,0.4698132954161147
BR_NCP_PILOT_3,deletion,BRD-K36207157-001-09-6,2500,0.4109559218844532
BR_NCP_PILOT_3,deletion,BRD-K36207157-001-09-6,5000,0.5819073179090332
BR_NCP_PILOT_3,deletion,BRD-K36207157-001-09-6,7500,0.11256840496383724
BR_NCP_PILOT_3,deletion,BRD-K36207157-001-09-6,10000,0.36185740152742346
BR_NCP_PILOT_3,deletion,BRD-K79131256-001-17-9,2500,0.4003869379944328
BR_NCP_PILOT_3,deletion,BRD-K79131256-001-17-9,5000,0.4482019229825218
BR_NCP_PILOT_3,deletion,BRD-K79131256-001-17-9,7500,0.3946266851841811
BR_NCP_PILOT_3,deletion,BRD-K79131256-001-17-9,10000,0.19574020404485973
BR_NCP_PILOT_3,deletion,NA,2500,0.35546682089606263
BR_NCP_PILOT_3,deletion,NA,5000,0.37101891199730674
BR_NCP_PILOT_3,deletion,NA,7500,0.3304389354646121
BR_NCP_PILOT_3,deletion,NA,10000,0.4331250623895823
