Metadata_Plate,Metadata_cell_type,Metadata_line_ID,Metadata_line_source,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold
BR00127194,progen,1,human,0.07003644662782971,0.915722,0.23070690832422963,0.6369394007013958,False,False
BR00127194,progen,2,human,0.15508763896857733,1.7274635,0.0663641283955471,1.178066605112471,True,False
BR00127194,progen,3,human,0.14637956772091792,1.8336717,0.05466627642850984,1.262280506895435,True,False
BR00127194,progen,4,human,0.08222510927359349,1.0948623,0.17500294338573108,0.7569546468255274,False,False
BR00127194,progen,5,human,0.05850861319586635,0.8844372,0.23268099064412323,0.6332390958520074,False,False
BR00127194,progen,6,human,0.17346667984880682,2.1423695,0.036925327440258116,1.4326756448347877,True,True
BR00127194,progen,7,human,0.05669136416300803,0.8048519,0.25262306822078856,0.5975269944633175,False,False
BR00127194,progen,8,human,0.048811804725901554,0.6846883,0.30111149588817265,0.5212726635988563,False,False
BR00127194,progen,9,human,0.1912793501612129,2.2054343,0.033349428722565924,1.476911601170588,True,True
BR00127194,progen,10,human,0.19988737855133207,2.0664911,0.04257457539567659,1.370849674645084,True,True
BR00127194,progen,11,human,0.08565805271966467,1.1602416,0.16265988826263147,0.7887195303694454,False,False
BR00127194,progen,12,human,0.06366621067335293,0.78869265,0.25682923610767594,0.5903555399586217,False,False
BR00127194,progen,13,human,0.09150959955791316,1.2257115,0.1474455495140162,0.8313683316281162,False,False
BR00127194,progen,14,human,0.2900307275607976,2.5269535,0.021323988400399688,1.671131562389982,True,True
BR00127194,progen,15,human,0.11258191895239211,1.3751142,0.11391599075955766,0.9434153083072955,True,False
BR00127194,progen,16,human,0.21219750958245623,2.1842737,0.034138582215051755,1.4667545192190947,True,True
BR00127194,progen,17,human,0.12473303664587865,1.5652771,0.08581504053794421,1.0664365880233595,True,False
BR00127194,progen,18,human,0.17891404243914846,2.21959,0.033349428722565924,1.476911601170588,True,True
