,Metadata_Plate,Metadata_Well,Metadata_Plate_Map_Name,Metadata_cell_type,Metadata_line_ID,Metadata_line_condition,Metadata_line_source,Metadata_plating_density,Metadata_Object_Count,Metadata_Object_Count_inferred,Metadata_Site_Count,average_precision,p_value,n_pos_pairs,n_neg_pairs
0,BR00127194,A01,BR00127194,progen,1,control,human,10000,2486.0,3104.283185840708,9,0.1850268142519293,0.00469953,7,383
1,BR00127194,A02,BR00127194,progen,1,control,human,10000,3014.0,3187.6781685467818,9,0.17324686010915608,0.0077992203,7,383
2,BR00127194,A03,BR00127194,progen,30,deletion,human,10000,838.0,1350.4510739856803,9,0.10216017035946072,0.02849715,7,383
3,BR00127194,A04,BR00127194,progen,30,deletion,human,10000,68.0,131.1470588235294,7,0.10596879601456262,0.02639736,7,383
4,BR00127194,A05,BR00127194,progen,9,control,human,10000,3012.0,3333.986055776892,9,0.20248795199333955,0.00319968,7,383
5,BR00127194,A06,BR00127194,progen,9,control,human,10000,3427.0,3557.7443828421356,9,0.17940769865424328,0.00589941,7,383
6,BR00127194,A07,BR00127194,progen,26,deletion,isogenic_deletion,10000,1968.0,2128.5274390243903,9,0.04765313863271535,0.12858714,7,383
7,BR00127194,A08,BR00127194,progen,26,deletion,isogenic_deletion,10000,2265.0,2448.8185430463577,9,0.23756290635708072,0.00129987,7,383
8,BR00127194,A09,BR00127194,progen,4,control,human,10000,1544.0,1710.2448186528497,9,0.018685384053613818,0.7553245,7,383
9,BR00127194,A10,BR00127194,progen,4,control,human,10000,2010.0,2207.7402985074627,9,0.024960139954424945,0.470053,7,383
10,BR00127194,A11,BR00127194,progen,34,deletion,human,10000,3293.0,3603.89735803219,9,0.36332714904143476,9.999e-05,7,383
11,BR00127194,A12,BR00127194,progen,34,deletion,human,10000,5538.0,5724.07150595883,9,0.4332363039259591,9.999e-05,7,383
12,BR00127194,A13,BR00127194,progen,15,control,human,10000,1726.0,1858.546929316338,9,0.2781160187841433,0.00069993,7,383
13,BR00127194,A14,BR00127194,progen,15,control,human,10000,1858.0,1974.7491926803011,9,0.13049884801569192,0.02089791,7,383
14,BR00127194,A15,BR00127194,progen,36,deletion,human,10000,3042.0,3568.3195266272187,9,0.08097213516635768,0.04609539,7,383
15,BR00127194,A16,BR00127194,progen,36,deletion,human,10000,5869.0,6044.804225592094,9,0.2497786071937572,0.00109989,7,383
16,BR00127194,A17,BR00127194,progen,2,control,human,10000,703.0,883.8691322901848,9,0.02610392001561247,0.43055695,7,383
