FileName_OrigRNA,PathName_OrigRNA,FileName_OrigER,PathName_OrigER,FileName_OrigAGP,PathName_OrigAGP,FileName_OrigMito,PathName_OrigMito,FileName_OrigBrightfield,PathName_OrigBrightfield,FileName_OrigDNA,PathName_OrigDNA,Metadata_Plate,Metadata_Well,Metadata_Site,Metadata_AbsPositionZ,Metadata_AbsTime,Metadata_BinningX,Metadata_BinningY,Metadata_ChannelID,Metadata_ChannelName,Metadata_Col,Metadata_ExposureTime,Metadata_FieldID,Metadata_ImageResolutionX,Metadata_ImageResolutionY,Metadata_ImageSizeX,Metadata_ImageSizeY,Metadata_MainEmissionWavelength,Metadata_MainExcitationWavelength,Metadata_MaxIntensity,Metadata_ObjectiveMagnification,Metadata_ObjectiveNA,Metadata_PlaneID,Metadata_PositionX,Metadata_PositionY,Metadata_PositionZ,Metadata_Row
r01c01f01p02-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f01p02-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f01p02-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f01p02-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f01p02-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f01p02-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,BR00132673,A01,1,0.134639695,2022-02-26T03:01:21.227-05:00,1,1,6,HOECHST 33342,1,0.2,1,9.491683824710506e-08,9.491683824710506e-08,2160,2160,456,405,65535,63,1.15,2,0.0,0.0,3.5e-06,1
r01c01f02p02-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f02p02-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f02p02-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f02p02-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f02p02-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f02p02-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,BR00132673,A01,2,0.134638995,2022-02-26T03:01:24.517-05:00,1,1,6,HOECHST 33342,1,0.2,2,9.491683824710506e-08,9.491683824710506e-08,2160,2160,456,405,65535,63,1.15,2,0.0,0.000820081,3.5e-06,1
r01c01f03p02-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f03p02-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f03p02-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f03p02-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f03p02-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f03p02-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,BR00132673,A01,3,0.134638101,2022-02-26T03:01:27.653-05:00,1,1,6,HOECHST 33342,1,0.2,3,9.491683824710506e-08,9.491683824710506e-08,2160,2160,456,405,65535,63,1.15,2,0.000410041,0.000410041,3.5e-06,1
r01c01f04p02-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f04p02-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f04p02-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f04p02-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f04p02-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f04p02-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,BR00132673,A01,4,0.1346405,2022-02-26T03:01:30.807-05:00,1,1,6,HOECHST 33342,1,0.2,4,9.491683824710506e-08,9.491683824710506e-08,2160,2160,456,405,65535,63,1.15,2,-0.000410041,0.000410041,3.5e-06,1
r01c01f05p02-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f05p02-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f05p02-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f05p02-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f05p02-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f05p02-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,BR00132673,A01,5,0.134641305,2022-02-26T03:01:33.973-05:00,1,1,6,HOECHST 33342,1,0.2,5,9.491683824710506e-08,9.491683824710506e-08,2160,2160,456,405,65535,63,1.15,2,-0.000820081,0.0,3.5e-06,1
r01c01f06p02-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f06p02-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f06p02-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f06p02-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f06p02-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f06p02-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,BR00132673,A01,6,0.1346367,2022-02-26T03:01:37.153-05:00,1,1,6,HOECHST 33342,1,0.2,6,9.491683824710506e-08,9.491683824710506e-08,2160,2160,456,405,65535,63,1.15,2,0.000820081,0.0,3.5e-06,1
r01c01f07p02-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f07p02-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f07p02-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f07p02-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f07p02-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f07p02-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,BR00132673,A01,7,0.1346398,2022-02-26T03:01:40.337-05:00,1,1,6,HOECHST 33342,1,0.2,7,9.491683824710506e-08,9.491683824710506e-08,2160,2160,456,405,65535,63,1.15,2,0.000410041,-0.000410041,3.5e-06,1
r01c01f08p02-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f08p02-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f08p02-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f08p02-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f08p02-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f08p02-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,BR00132673,A01,8,0.134641498,2022-02-26T03:01:43.503-05:00,1,1,6,HOECHST 33342,1,0.2,8,9.491683824710506e-08,9.491683824710506e-08,2160,2160,456,405,65535,63,1.15,2,-0.000410041,-0.000410041,3.5e-06,1
r01c01f09p02-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f09p02-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f09p02-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f09p02-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f09p02-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c01f09p02-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,BR00132673,A01,9,0.134640604,2022-02-26T03:01:46.703-05:00,1,1,6,HOECHST 33342,1,0.2,9,9.491683824710506e-08,9.491683824710506e-08,2160,2160,456,405,65535,63,1.15,2,0.0,-0.000820081,3.5e-06,1
r01c02f01p02-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c02f01p02-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c02f01p02-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c02f01p02-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c02f01p02-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c02f01p02-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,BR00132673,A02,1,0.134615093,2022-02-26T03:01:50.087-05:00,1,1,6,HOECHST 33342,2,0.2,1,9.491683824710506e-08,9.491683824710506e-08,2160,2160,456,405,65535,63,1.15,2,0.0,0.0,3.5e-06,1
r01c02f02p02-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c02f02p02-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c02f02p02-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c02f02p02-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c02f02p02-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,r01c02f02p02-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/2022_03_03_NCP_NEURONS_2_63x/images/BR00132673/Images,BR00132673,A02,2,0.134613499,2022-02-26T03:01:53.253-05:00,1,1,6,HOECHST 33342,2,0.2,2,9.491683824710506e-08,9.491683824710506e-08,2160,2160,456,405,65535,63,1.15,2,0.0,0.000820081,3.5e-06,1
