plate_map_name	well_position	plating_density	line_condition	compound_ID
BR_NCP_PILOT_3	A01	2500	control	NA
BR_NCP_PILOT_3	A02	10000	control	NA
BR_NCP_PILOT_3	A03	2500	control	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	A04	10000	control	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	A05	2500	control	NA
BR_NCP_PILOT_3	A06	10000	control	NA
BR_NCP_PILOT_3	A07	2500	control	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	A08	10000	control	NA
BR_NCP_PILOT_3	A09	2500	control	NA
BR_NCP_PILOT_3	A10	10000	control	NA
BR_NCP_PILOT_3	A11	2500	control	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	A12	10000	control	NA
BR_NCP_PILOT_3	A13	2500	control	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	A14	10000	control	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	A15	2500	control	NA
BR_NCP_PILOT_3	A16	10000	control	NA
BR_NCP_PILOT_3	A17	2500	control	NA
BR_NCP_PILOT_3	A18	10000	control	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	A19	2500	control	NA
BR_NCP_PILOT_3	A20	10000	control	NA
BR_NCP_PILOT_3	A21	2500	control	NA
BR_NCP_PILOT_3	A22	10000	control	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	A23	2500	control	NA
BR_NCP_PILOT_3	A24	10000	control	NA
BR_NCP_PILOT_3	B01	5000	control	NA
BR_NCP_PILOT_3	B02	7500	control	NA
BR_NCP_PILOT_3	B03	5000	control	NA
BR_NCP_PILOT_3	B04	7500	control	NA
BR_NCP_PILOT_3	B05	5000	control	NA
BR_NCP_PILOT_3	B06	7500	control	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	B07	5000	control	NA
BR_NCP_PILOT_3	B08	7500	control	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	B09	5000	control	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	B10	7500	control	NA
BR_NCP_PILOT_3	B11	5000	control	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	B12	7500	control	NA
BR_NCP_PILOT_3	B13	5000	control	NA
BR_NCP_PILOT_3	B14	7500	control	NA
BR_NCP_PILOT_3	B15	5000	control	NA
BR_NCP_PILOT_3	B16	7500	control	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	B17	5000	control	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	B18	7500	control	NA
BR_NCP_PILOT_3	B19	5000	control	NA
BR_NCP_PILOT_3	B20	7500	control	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	B21	5000	control	NA
BR_NCP_PILOT_3	B22	7500	control	NA
BR_NCP_PILOT_3	B23	5000	control	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	B24	7500	control	NA
BR_NCP_PILOT_3	C01	2500	deletion	NA
BR_NCP_PILOT_3	C02	10000	deletion	NA
BR_NCP_PILOT_3	C03	2500	deletion	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	C04	10000	deletion	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	C05	2500	deletion	NA
BR_NCP_PILOT_3	C06	10000	deletion	NA
BR_NCP_PILOT_3	C07	2500	deletion	NA
BR_NCP_PILOT_3	C08	10000	deletion	NA
BR_NCP_PILOT_3	C09	2500	deletion	NA
BR_NCP_PILOT_3	C10	10000	deletion	NA
BR_NCP_PILOT_3	C11	2500	deletion	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	C12	10000	deletion	NA
BR_NCP_PILOT_3	C13	2500	deletion	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	C14	10000	deletion	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	C15	2500	deletion	NA
BR_NCP_PILOT_3	C16	10000	deletion	NA
BR_NCP_PILOT_3	C17	2500	deletion	NA
BR_NCP_PILOT_3	C18	10000	deletion	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	C19	2500	deletion	NA
BR_NCP_PILOT_3	C20	10000	deletion	NA
BR_NCP_PILOT_3	C21	2500	deletion	NA
BR_NCP_PILOT_3	C22	10000	deletion	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	C23	2500	deletion	NA
BR_NCP_PILOT_3	C24	10000	deletion	NA
BR_NCP_PILOT_3	D01	5000	deletion	NA
BR_NCP_PILOT_3	D02	7500	deletion	NA
BR_NCP_PILOT_3	D03	5000	deletion	NA
BR_NCP_PILOT_3	D04	7500	deletion	NA
BR_NCP_PILOT_3	D05	5000	deletion	NA
BR_NCP_PILOT_3	D06	7500	deletion	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	D07	5000	deletion	NA
BR_NCP_PILOT_3	D08	7500	deletion	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	D09	5000	deletion	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	D10	7500	deletion	NA
BR_NCP_PILOT_3	D11	5000	deletion	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	D12	7500	deletion	NA
BR_NCP_PILOT_3	D13	5000	deletion	NA
BR_NCP_PILOT_3	D14	7500	deletion	NA
BR_NCP_PILOT_3	D15	5000	deletion	NA
BR_NCP_PILOT_3	D16	7500	deletion	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	D17	5000	deletion	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	D18	7500	deletion	NA
BR_NCP_PILOT_3	D19	5000	deletion	NA
BR_NCP_PILOT_3	D20	7500	deletion	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	D21	5000	deletion	NA
BR_NCP_PILOT_3	D22	7500	deletion	NA
BR_NCP_PILOT_3	D23	5000	deletion	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	D24	7500	deletion	NA
BR_NCP_PILOT_3	E01	2500	control	NA
BR_NCP_PILOT_3	E02	10000	control	NA
BR_NCP_PILOT_3	E03	2500	control	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	E04	10000	control	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	E05	2500	control	NA
BR_NCP_PILOT_3	E06	10000	control	NA
BR_NCP_PILOT_3	E07	2500	control	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	E08	10000	control	NA
BR_NCP_PILOT_3	E09	2500	control	NA
BR_NCP_PILOT_3	E10	10000	control	NA
BR_NCP_PILOT_3	E11	2500	control	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	E12	10000	control	NA
BR_NCP_PILOT_3	E13	2500	control	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	E14	10000	control	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	E15	2500	control	NA
BR_NCP_PILOT_3	E16	10000	control	NA
BR_NCP_PILOT_3	E17	2500	control	NA
BR_NCP_PILOT_3	E18	10000	control	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	E19	2500	control	NA
BR_NCP_PILOT_3	E20	10000	control	NA
BR_NCP_PILOT_3	E21	2500	control	NA
BR_NCP_PILOT_3	E22	10000	control	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	E23	2500	control	NA
BR_NCP_PILOT_3	E24	10000	control	NA
BR_NCP_PILOT_3	F01	5000	control	NA
BR_NCP_PILOT_3	F02	7500	control	NA
BR_NCP_PILOT_3	F03	5000	control	NA
BR_NCP_PILOT_3	F04	7500	control	NA
BR_NCP_PILOT_3	F05	5000	control	NA
BR_NCP_PILOT_3	F06	7500	control	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	F07	5000	control	NA
BR_NCP_PILOT_3	F08	7500	control	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	F09	5000	control	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	F10	7500	control	NA
BR_NCP_PILOT_3	F11	5000	control	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	F12	7500	control	NA
BR_NCP_PILOT_3	F13	5000	control	NA
BR_NCP_PILOT_3	F14	7500	control	NA
BR_NCP_PILOT_3	F15	5000	control	NA
BR_NCP_PILOT_3	F16	7500	control	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	F17	5000	control	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	F18	7500	control	NA
BR_NCP_PILOT_3	F19	5000	control	NA
BR_NCP_PILOT_3	F20	7500	control	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	F21	5000	control	NA
BR_NCP_PILOT_3	F22	7500	control	NA
