plate_map_name	well_position	plating_density	line_condition	compound_ID
BR_NCP_PILOT_3	F23	5000	control	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	F24	7500	control	NA
BR_NCP_PILOT_3	G01	2500	deletion	NA
BR_NCP_PILOT_3	G02	10000	deletion	NA
BR_NCP_PILOT_3	G03	2500	deletion	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	G04	10000	deletion	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	G05	2500	deletion	NA
BR_NCP_PILOT_3	G06	10000	deletion	NA
BR_NCP_PILOT_3	G07	2500	deletion	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	G08	10000	deletion	NA
BR_NCP_PILOT_3	G09	2500	deletion	NA
BR_NCP_PILOT_3	G10	10000	deletion	NA
BR_NCP_PILOT_3	G11	2500	deletion	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	G12	10000	deletion	NA
BR_NCP_PILOT_3	G13	2500	deletion	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	G14	10000	deletion	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	G15	2500	deletion	NA
BR_NCP_PILOT_3	G16	10000	deletion	NA
BR_NCP_PILOT_3	G17	2500	deletion	NA
BR_NCP_PILOT_3	G18	10000	deletion	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	G19	2500	deletion	NA
BR_NCP_PILOT_3	G20	10000	deletion	NA
BR_NCP_PILOT_3	G21	2500	deletion	NA
BR_NCP_PILOT_3	G22	10000	deletion	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	G23	2500	deletion	NA
BR_NCP_PILOT_3	G24	10000	deletion	NA
BR_NCP_PILOT_3	H01	5000	deletion	NA
BR_NCP_PILOT_3	H02	7500	deletion	NA
BR_NCP_PILOT_3	H03	5000	deletion	NA
BR_NCP_PILOT_3	H04	7500	deletion	NA
BR_NCP_PILOT_3	H05	5000	deletion	NA
BR_NCP_PILOT_3	H06	7500	deletion	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	H07	5000	deletion	NA
BR_NCP_PILOT_3	H08	7500	deletion	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	H09	5000	deletion	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	H10	7500	deletion	NA
BR_NCP_PILOT_3	H11	5000	deletion	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	H12	7500	deletion	NA
BR_NCP_PILOT_3	H13	5000	deletion	NA
BR_NCP_PILOT_3	H14	7500	deletion	NA
BR_NCP_PILOT_3	H15	5000	deletion	NA
BR_NCP_PILOT_3	H16	7500	deletion	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	H17	5000	deletion	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	H18	7500	deletion	NA
BR_NCP_PILOT_3	H19	5000	deletion	NA
BR_NCP_PILOT_3	H20	7500	deletion	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	H21	5000	deletion	NA
BR_NCP_PILOT_3	H22	7500	deletion	NA
BR_NCP_PILOT_3	H23	5000	deletion	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	H24	7500	deletion	NA
BR_NCP_PILOT_3	I01	2500	control	NA
BR_NCP_PILOT_3	I02	10000	control	NA
BR_NCP_PILOT_3	I03	2500	control	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	I04	10000	control	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	I05	2500	control	NA
BR_NCP_PILOT_3	I06	10000	control	NA
BR_NCP_PILOT_3	I07	2500	control	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	I08	10000	control	NA
BR_NCP_PILOT_3	I09	2500	control	NA
BR_NCP_PILOT_3	I10	10000	control	NA
BR_NCP_PILOT_3	I11	2500	control	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	I12	10000	control	NA
BR_NCP_PILOT_3	I13	2500	control	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	I14	10000	control	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	I15	2500	control	NA
BR_NCP_PILOT_3	I16	10000	control	NA
BR_NCP_PILOT_3	I17	2500	control	NA
BR_NCP_PILOT_3	I18	10000	control	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	I19	2500	control	NA
BR_NCP_PILOT_3	I20	10000	control	NA
BR_NCP_PILOT_3	I21	2500	control	NA
BR_NCP_PILOT_3	I22	10000	control	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	I23	2500	control	NA
BR_NCP_PILOT_3	I24	10000	control	NA
BR_NCP_PILOT_3	J01	5000	control	NA
BR_NCP_PILOT_3	J02	7500	control	NA
BR_NCP_PILOT_3	J03	5000	control	NA
BR_NCP_PILOT_3	J04	7500	control	NA
BR_NCP_PILOT_3	J05	5000	control	NA
BR_NCP_PILOT_3	J06	7500	control	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	J07	5000	control	NA
BR_NCP_PILOT_3	J08	7500	control	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	J09	5000	control	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	J10	7500	control	NA
BR_NCP_PILOT_3	J11	5000	control	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	J12	7500	control	NA
BR_NCP_PILOT_3	J13	5000	control	NA
BR_NCP_PILOT_3	J14	7500	control	NA
BR_NCP_PILOT_3	J15	5000	control	NA
BR_NCP_PILOT_3	J16	7500	control	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	J17	5000	control	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	J18	7500	control	NA
BR_NCP_PILOT_3	J19	5000	control	NA
BR_NCP_PILOT_3	J20	7500	control	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	J21	5000	control	NA
BR_NCP_PILOT_3	J22	7500	control	NA
BR_NCP_PILOT_3	J23	5000	control	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	J24	7500	control	NA
BR_NCP_PILOT_3	K01	2500	deletion	NA
BR_NCP_PILOT_3	K02	10000	deletion	NA
BR_NCP_PILOT_3	K03	2500	deletion	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	K04	10000	deletion	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	K05	2500	deletion	NA
BR_NCP_PILOT_3	K06	10000	deletion	NA
BR_NCP_PILOT_3	K07	2500	deletion	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	K08	10000	deletion	NA
BR_NCP_PILOT_3	K09	2500	deletion	NA
BR_NCP_PILOT_3	K10	10000	deletion	NA
BR_NCP_PILOT_3	K11	2500	deletion	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	K12	10000	deletion	NA
BR_NCP_PILOT_3	K13	2500	deletion	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	K14	10000	deletion	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	K15	2500	deletion	NA
BR_NCP_PILOT_3	K16	10000	deletion	NA
BR_NCP_PILOT_3	K17	2500	deletion	NA
BR_NCP_PILOT_3	K18	10000	deletion	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	K19	2500	deletion	NA
BR_NCP_PILOT_3	K20	10000	deletion	NA
BR_NCP_PILOT_3	K21	2500	deletion	NA
BR_NCP_PILOT_3	K22	10000	deletion	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	K23	2500	deletion	NA
BR_NCP_PILOT_3	K24	10000	deletion	NA
BR_NCP_PILOT_3	L01	5000	deletion	NA
BR_NCP_PILOT_3	L02	7500	deletion	NA
BR_NCP_PILOT_3	L03	5000	deletion	NA
BR_NCP_PILOT_3	L04	7500	deletion	NA
BR_NCP_PILOT_3	L05	5000	deletion	NA
BR_NCP_PILOT_3	L06	7500	deletion	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	L07	5000	deletion	NA
BR_NCP_PILOT_3	L08	7500	deletion	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	L09	5000	deletion	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	L10	7500	deletion	NA
BR_NCP_PILOT_3	L11	5000	deletion	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	L12	7500	deletion	NA
BR_NCP_PILOT_3	L13	5000	deletion	NA
BR_NCP_PILOT_3	L14	7500	deletion	NA
BR_NCP_PILOT_3	L15	5000	deletion	NA
BR_NCP_PILOT_3	L16	7500	deletion	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	L17	5000	deletion	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	L18	7500	deletion	NA
BR_NCP_PILOT_3	L19	5000	deletion	NA
BR_NCP_PILOT_3	L20	7500	deletion	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	L21	5000	deletion	NA
BR_NCP_PILOT_3	L22	7500	deletion	NA
BR_NCP_PILOT_3	L23	5000	deletion	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	L24	7500	deletion	NA
BR_NCP_PILOT_3	M01	2500	control	NA
BR_NCP_PILOT_3	M02	10000	control	NA
BR_NCP_PILOT_3	M03	2500	control	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	M04	10000	control	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	M05	2500	control	NA
BR_NCP_PILOT_3	M06	10000	control	NA
BR_NCP_PILOT_3	M07	2500	control	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	M08	10000	control	NA
BR_NCP_PILOT_3	M09	2500	control	NA
BR_NCP_PILOT_3	M10	10000	control	NA
BR_NCP_PILOT_3	M11	2500	control	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	M12	10000	control	NA
BR_NCP_PILOT_3	M13	2500	control	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	M14	10000	control	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	M15	2500	control	NA
BR_NCP_PILOT_3	M16	10000	control	NA
BR_NCP_PILOT_3	M17	2500	control	NA
BR_NCP_PILOT_3	M18	10000	control	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	M19	2500	control	NA
BR_NCP_PILOT_3	M20	10000	control	NA
BR_NCP_PILOT_3	M21	2500	control	NA
BR_NCP_PILOT_3	M22	10000	control	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	M23	2500	control	NA
BR_NCP_PILOT_3	M24	10000	control	NA
BR_NCP_PILOT_3	N01	5000	control	NA
BR_NCP_PILOT_3	N02	7500	control	NA
BR_NCP_PILOT_3	N03	5000	control	NA
BR_NCP_PILOT_3	N04	7500	control	NA
BR_NCP_PILOT_3	N05	5000	control	NA
BR_NCP_PILOT_3	N06	7500	control	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	N07	5000	control	NA
BR_NCP_PILOT_3	N08	7500	control	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	N09	5000	control	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	N10	7500	control	NA
BR_NCP_PILOT_3	N11	5000	control	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	N12	7500	control	NA
BR_NCP_PILOT_3	N13	5000	control	NA
BR_NCP_PILOT_3	N14	7500	control	NA
BR_NCP_PILOT_3	N15	5000	control	NA
BR_NCP_PILOT_3	N16	7500	control	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	N17	5000	control	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	N18	7500	control	NA
BR_NCP_PILOT_3	N19	5000	control	NA
BR_NCP_PILOT_3	N20	7500	control	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	N21	5000	control	NA
BR_NCP_PILOT_3	N22	7500	control	NA
BR_NCP_PILOT_3	N23	5000	control	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	N24	7500	control	NA
BR_NCP_PILOT_3	O01	2500	deletion	NA
BR_NCP_PILOT_3	O02	10000	deletion	NA
BR_NCP_PILOT_3	O03	2500	deletion	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	O04	10000	deletion	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	O05	2500	deletion	NA
BR_NCP_PILOT_3	O06	10000	deletion	NA
BR_NCP_PILOT_3	O07	2500	deletion	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	O08	10000	deletion	NA
BR_NCP_PILOT_3	O09	2500	deletion	NA
BR_NCP_PILOT_3	O10	10000	deletion	NA
BR_NCP_PILOT_3	O11	2500	deletion	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	O12	10000	deletion	NA
BR_NCP_PILOT_3	O13	2500	deletion	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	O14	10000	deletion	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	O15	2500	deletion	NA
BR_NCP_PILOT_3	O16	10000	deletion	NA
BR_NCP_PILOT_3	O17	2500	deletion	NA
BR_NCP_PILOT_3	O18	10000	deletion	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	O19	2500	deletion	NA
BR_NCP_PILOT_3	O20	10000	deletion	NA
BR_NCP_PILOT_3	O21	2500	deletion	NA
BR_NCP_PILOT_3	O22	10000	deletion	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	O23	2500	deletion	NA
BR_NCP_PILOT_3	O24	10000	deletion	NA
BR_NCP_PILOT_3	P01	5000	deletion	NA
BR_NCP_PILOT_3	P02	7500	deletion	NA
BR_NCP_PILOT_3	P03	5000	deletion	NA
BR_NCP_PILOT_3	P04	7500	deletion	NA
BR_NCP_PILOT_3	P05	5000	deletion	NA
BR_NCP_PILOT_3	P06	7500	deletion	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	P07	5000	deletion	NA
BR_NCP_PILOT_3	P08	7500	deletion	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	P09	5000	deletion	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	P10	7500	deletion	NA
BR_NCP_PILOT_3	P11	5000	deletion	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	P12	7500	deletion	NA
BR_NCP_PILOT_3	P13	5000	deletion	NA
BR_NCP_PILOT_3	P14	7500	deletion	NA
BR_NCP_PILOT_3	P15	5000	deletion	NA
BR_NCP_PILOT_3	P16	7500	deletion	BRD-K15108141-003-04-7
BR_NCP_PILOT_3	P17	5000	deletion	BRD-K36207157-001-09-6
BR_NCP_PILOT_3	P18	7500	deletion	NA
BR_NCP_PILOT_3	P19	5000	deletion	NA
BR_NCP_PILOT_3	P20	7500	deletion	BRD-K79131256-001-17-9
BR_NCP_PILOT_3	P21	5000	deletion	NA
BR_NCP_PILOT_3	P22	7500	deletion	NA
BR_NCP_PILOT_3	P23	5000	deletion	BRD-K21680192-300-14-4
BR_NCP_PILOT_3	P24	7500	deletion	NA
