plate_map_name	well_position	EXPERIMENT_NAME	DENSITY	LINE_ID	GENOTYPE
NCP_2022_03_03_METADATA	A01	2022_03_03_NCP_NEURONS_2	3500	1	DELETION
NCP_2022_03_03_METADATA	A02	2022_03_03_NCP_NEURONS_2	3500	1	DELETION
NCP_2022_03_03_METADATA	A03	2022_03_03_NCP_NEURONS_2	3500	30	CONTROL
NCP_2022_03_03_METADATA	A04	2022_03_03_NCP_NEURONS_2	3500	30	CONTROL
NCP_2022_03_03_METADATA	A05	2022_03_03_NCP_NEURONS_2	3500	9	CONTROL
NCP_2022_03_03_METADATA	A06	2022_03_03_NCP_NEURONS_2	3500	9	CONTROL
NCP_2022_03_03_METADATA	A07	2022_03_03_NCP_NEURONS_2	3500	26	CONTROL
NCP_2022_03_03_METADATA	A08	2022_03_03_NCP_NEURONS_2	3500	26	CONTROL
NCP_2022_03_03_METADATA	A09	2022_03_03_NCP_NEURONS_2	3500	4	DELETION
NCP_2022_03_03_METADATA	A10	2022_03_03_NCP_NEURONS_2	3500	4	DELETION
NCP_2022_03_03_METADATA	A11	2022_03_03_NCP_NEURONS_2	3500	34	DELETION
NCP_2022_03_03_METADATA	A12	2022_03_03_NCP_NEURONS_2	3500	34	DELETION
NCP_2022_03_03_METADATA	A13	2022_03_03_NCP_NEURONS_2	3500	15	DELETION
NCP_2022_03_03_METADATA	A14	2022_03_03_NCP_NEURONS_2	3500	15	DELETION
NCP_2022_03_03_METADATA	A15	2022_03_03_NCP_NEURONS_2	3500	36	DELETION
NCP_2022_03_03_METADATA	A16	2022_03_03_NCP_NEURONS_2	3500	36	DELETION
NCP_2022_03_03_METADATA	A17	2022_03_03_NCP_NEURONS_2	3500	2	DELETION
NCP_2022_03_03_METADATA	A18	2022_03_03_NCP_NEURONS_2	3500	2	DELETION
NCP_2022_03_03_METADATA	A19	2022_03_03_NCP_NEURONS_2	3500	16	DELETION
NCP_2022_03_03_METADATA	A20	2022_03_03_NCP_NEURONS_2	3500	16	DELETION
NCP_2022_03_03_METADATA	A21	2022_03_03_NCP_NEURONS_2	3500	20	CONTROL
NCP_2022_03_03_METADATA	A22	2022_03_03_NCP_NEURONS_2	3500	20	CONTROL
NCP_2022_03_03_METADATA	A23	2022_03_03_NCP_NEURONS_2	3500	12	CONTROL
NCP_2022_03_03_METADATA	A24	2022_03_03_NCP_NEURONS_2	3500	12	CONTROL
NCP_2022_03_03_METADATA	B01	2022_03_03_NCP_NEURONS_2	3500	1	DELETION
