plate_map_name	well_position	plating_density	line_ID	line_condition
BR00132673	A01	3500	1	deletion
BR00132673	A02	3500	1	deletion
BR00132673	A03	3500	30	control
BR00132673	A04	3500	30	control
BR00132673	A05	3500	9	control
BR00132673	A06	3500	9	control
BR00132673	A07	3500	26	control
BR00132673	A08	3500	26	control
BR00132673	A09	3500	4	deletion
BR00132673	A10	3500	4	deletion
BR00132673	A11	3500	34	deletion
BR00132673	A12	3500	34	deletion
BR00132673	A13	3500	15	deletion
BR00132673	A14	3500	15	deletion
BR00132673	A15	3500	36	deletion
BR00132673	A16	3500	36	deletion
BR00132673	A17	3500	2	deletion
BR00132673	A18	3500	2	deletion
BR00132673	A19	3500	16	deletion
BR00132673	A20	3500	16	deletion
BR00132673	A21	3500	20	control
BR00132673	A22	3500	20	control
BR00132673	A23	3500	12	control
BR00132673	A24	3500	12	control
BR00132673	B01	3500	1	deletion
BR00132673	B02	3500	1	deletion
BR00132673	B03	3500	30	control
BR00132673	B04	3500	30	control
BR00132673	B05	3500	9	control
BR00132673	B06	3500	9	control
BR00132673	B07	3500	26	control
BR00132673	B08	3500	26	control
BR00132673	B09	3500	4	deletion
BR00132673	B10	3500	4	deletion
BR00132673	B11	3500	34	deletion
BR00132673	B12	3500	34	deletion
BR00132673	B13	3500	15	deletion
BR00132673	B14	3500	15	deletion
BR00132673	B15	3500	36	deletion
BR00132673	B16	3500	36	deletion
BR00132673	B17	3500	2	deletion
BR00132673	B18	3500	2	deletion
BR00132673	B19	3500	16	deletion
BR00132673	B20	3500	16	deletion
BR00132673	B21	3500	20	control
BR00132673	B22	3500	20	control
BR00132673	B23	3500	12	control
BR00132673	B24	3500	12	control
BR00132673	C01	3500	17	control
BR00132673	C02	3500	17	control
BR00132673	C03	3500	39	control
BR00132673	C04	3500	39	control
BR00132673	C05	3500	37	deletion
BR00132673	C06	3500	37	deletion
BR00132673	C07	3500	42	deletion
BR00132673	C08	3500	42	deletion
BR00132673	C09	3500	7	control
BR00132673	C10	3500	7	control
BR00132673	C11	3500	29	control
BR00132673	C12	3500	29	control
BR00132673	C13	3500	11	control
BR00132673	C14	3500	11	control
BR00132673	C15	3500	38	deletion
BR00132673	C16	3500	38	deletion
BR00132673	C17	3500	43	control
BR00132673	C18	3500	43	control
BR00132673	C19	3500	18	deletion
BR00132673	C20	3500	18	deletion
BR00132673	C21	3500	6	control
BR00132673	C22	3500	6	control
BR00132673	C23	3500	29	control
BR00132673	C24	3500	29	control
BR00132673	D01	3500	17	control
BR00132673	D02	3500	17	control
BR00132673	D03	3500	39	control
BR00132673	D04	3500	39	control
BR00132673	D05	3500	37	deletion
BR00132673	D06	3500	37	deletion
BR00132673	D07	3500	42	deletion
BR00132673	D08	3500	42	deletion
BR00132673	D09	3500	7	control
BR00132673	D10	3500	7	control
BR00132673	D11	3500	29	control
BR00132673	D12	3500	29	control
BR00132673	D13	3500	11	control
BR00132673	D14	3500	11	control
BR00132673	D15	3500	38	deletion
BR00132673	D16	3500	38	deletion
BR00132673	D17	3500	43	control
BR00132673	D18	3500	43	control
BR00132673	D19	3500	18	deletion
BR00132673	D20	3500	18	deletion
BR00132673	D21	3500	6	control
BR00132673	D22	3500	6	control
BR00132673	D23	3500	29	control
BR00132673	D24	3500	29	control
BR00132673	E01	3500	27	control
BR00132673	E02	3500	27	control
BR00132673	E03	3500	41	control
BR00132673	E04	3500	41	control
BR00132673	E05	3500	32	control
BR00132673	E06	3500	32	control
BR00132673	E07	3500	46	control
BR00132673	E08	3500	46	control
BR00132673	E09	3500	1	deletion
BR00132673	E10	3500	1	deletion
BR00132673	E11	3500	33	deletion
BR00132673	E12	3500	33	deletion
BR00132673	E13	3500	14	control
BR00132673	E14	3500	14	control
BR00132673	E15	3500	9	control
BR00132673	E16	3500	9	control
BR00132673	E17	3500	23	deletion
BR00132673	E18	3500	23	deletion
BR00132673	E19	3500	22	control
BR00132673	E20	3500	22	control
BR00132673	E21	3500	3	control
BR00132673	E22	3500	3	control
BR00132673	E23	3500	28	control
BR00132673	E24	3500	28	control
BR00132673	F01	3500	27	control
BR00132673	F02	3500	27	control
BR00132673	F03	3500	41	control
BR00132673	F04	3500	41	control
BR00132673	F05	3500	32	control
BR00132673	F06	3500	32	control
BR00132673	F07	3500	46	control
BR00132673	F08	3500	46	control
BR00132673	F09	3500	1	deletion
BR00132673	F10	3500	1	deletion
BR00132673	F11	3500	33	deletion
BR00132673	F12	3500	33	deletion
BR00132673	F13	3500	14	control
BR00132673	F14	3500	14	control
BR00132673	F15	3500	9	control
BR00132673	F16	3500	9	control
BR00132673	F17	3500	23	deletion
BR00132673	F18	3500	23	deletion
