plate_map_name	well_position	plating_density	line_ID	line_condition
BR00132673	F19	3500	22	control
BR00132673	F20	3500	22	control
BR00132673	F21	3500	3	control
BR00132673	F22	3500	3	control
BR00132673	F23	3500	28	control
BR00132673	F24	3500	28	control
BR00132673	G01	3500	5	control
BR00132673	G02	3500	5	control
BR00132673	G03	3500	35	deletion
BR00132673	G04	3500	35	deletion
BR00132673	G05	3500	13	deletion
BR00132673	G06	3500	13	deletion
BR00132673	G07	3500	19	control
BR00132673	G08	3500	19	control
BR00132673	G09	3500	24	control
BR00132673	G10	3500	24	control
BR00132673	G11	3500	17	control
BR00132673	G12	3500	17	control
BR00132673	G13	3500	21	control
BR00132673	G14	3500	21	control
BR00132673	G15	3500	28	control
BR00132673	G16	3500	28	control
BR00132673	G17	3500	31	control
BR00132673	G18	3500	31	control
BR00132673	G19	3500	10	control
BR00132673	G20	3500	10	control
BR00132673	G21	3500	45	deletion
BR00132673	G22	3500	45	deletion
BR00132673	G23	3500	11	control
BR00132673	G24	3500	11	control
BR00132673	H01	3500	5	control
BR00132673	H02	3500	5	control
BR00132673	H03	3500	35	deletion
BR00132673	H04	3500	35	deletion
BR00132673	H05	3500	13	deletion
BR00132673	H06	3500	13	deletion
BR00132673	H07	3500	19	control
BR00132673	H08	3500	19	control
BR00132673	H09	3500	24	control
BR00132673	H10	3500	24	control
BR00132673	H11	3500	17	control
BR00132673	H12	3500	17	control
BR00132673	H13	3500	21	control
BR00132673	H14	3500	21	control
BR00132673	H15	3500	28	control
BR00132673	H16	3500	28	control
BR00132673	H17	3500	31	control
BR00132673	H18	3500	31	control
BR00132673	H19	3500	10	control
BR00132673	H20	3500	10	control
BR00132673	H21	3500	45	deletion
BR00132673	H22	3500	45	deletion
BR00132673	H23	3500	11	control
BR00132673	H24	3500	11	control
BR00132673	I01	3500	24	control
BR00132673	I02	3500	24	control
BR00132673	I03	3500	38	deletion
BR00132673	I04	3500	38	deletion
BR00132673	I05	3500	44	deletion
BR00132673	I06	3500	44	deletion
BR00132673	I07	3500	47	deletion
BR00132673	I08	3500	47	deletion
BR00132673	I09	3500	20	control
BR00132673	I10	3500	20	control
BR00132673	I11	3500	12	control
BR00132673	I12	3500	12	control
BR00132673	I13	3500	47	deletion
BR00132673	I14	3500	47	deletion
BR00132673	I15	3500	5	control
BR00132673	I16	3500	5	control
BR00132673	I17	3500	40	control
BR00132673	I18	3500	40	control
BR00132673	I19	3500	27	control
BR00132673	I20	3500	27	control
BR00132673	I21	3500	42	deletion
BR00132673	I22	3500	42	deletion
BR00132673	I23	3500	19	control
BR00132673	I24	3500	19	control
BR00132673	J01	3500	24	control
BR00132673	J02	3500	24	control
BR00132673	J03	3500	38	deletion
BR00132673	J04	3500	38	deletion
BR00132673	J05	3500	44	deletion
BR00132673	J06	3500	44	deletion
BR00132673	J07	3500	47	deletion
BR00132673	J08	3500	47	deletion
BR00132673	J09	3500	20	control
BR00132673	J10	3500	20	control
BR00132673	J11	3500	12	control
BR00132673	J12	3500	12	control
BR00132673	J13	3500	47	deletion
BR00132673	J14	3500	47	deletion
BR00132673	J15	3500	5	control
BR00132673	J16	3500	5	control
BR00132673	J17	3500	40	control
BR00132673	J18	3500	40	control
BR00132673	J19	3500	27	control
BR00132673	J20	3500	27	control
BR00132673	J21	3500	42	deletion
BR00132673	J22	3500	42	deletion
BR00132673	J23	3500	19	control
BR00132673	J24	3500	19	control
BR00132673	K01	3500	6	control
BR00132673	K02	3500	6	control
BR00132673	K03	3500	40	control
BR00132673	K04	3500	40	control
BR00132673	K05	3500	41	control
BR00132673	K06	3500	41	control
BR00132673	K07	3500	2	deletion
BR00132673	K08	3500	2	deletion
BR00132673	K09	3500	26	control
BR00132673	K10	3500	26	control
BR00132673	K11	3500	48	deletion
BR00132673	K12	3500	48	deletion
BR00132673	K13	3500	39	control
BR00132673	K14	3500	39	control
BR00132673	K15	3500	48	deletion
BR00132673	K16	3500	48	deletion
BR00132673	K17	3500	30	control
BR00132673	K18	3500	30	control
BR00132673	K19	3500	8	deletion
BR00132673	K20	3500	8	deletion
BR00132673	K21	3500	46	control
BR00132673	K22	3500	46	control
BR00132673	K23	3500	32	control
BR00132673	K24	3500	32	control
BR00132673	L01	3500	6	control
BR00132673	L02	3500	6	control
BR00132673	L03	3500	40	control
BR00132673	L04	3500	40	control
BR00132673	L05	3500	41	control
BR00132673	L06	3500	41	control
BR00132673	L07	3500	2	deletion
BR00132673	L08	3500	2	deletion
BR00132673	L09	3500	26	control
BR00132673	L10	3500	26	control
BR00132673	L11	3500	48	deletion
BR00132673	L12	3500	48	deletion
BR00132673	L13	3500	39	control
BR00132673	L14	3500	39	control
BR00132673	L15	3500	48	deletion
BR00132673	L16	3500	48	deletion
BR00132673	L17	3500	30	control
BR00132673	L18	3500	30	control
BR00132673	L19	3500	8	deletion
BR00132673	L20	3500	8	deletion
BR00132673	L21	3500	46	control
BR00132673	L22	3500	46	control
BR00132673	L23	3500	32	control
BR00132673	L24	3500	32	control
BR00132673	M01	3500	14	control
BR00132673	M02	3500	14	control
BR00132673	M03	3500	36	deletion
BR00132673	M04	3500	36	deletion
BR00132673	M05	3500	43	control
BR00132673	M06	3500	43	control
BR00132673	M07	3500	16	deletion
BR00132673	M08	3500	16	deletion
BR00132673	M09	3500	45	deletion
BR00132673	M10	3500	45	deletion
BR00132673	M11	3500	4	deletion
BR00132673	M12	3500	4	deletion
BR00132673	M13	3500	25	control
BR00132673	M14	3500	25	control
BR00132673	M15	3500	34	deletion
BR00132673	M16	3500	34	deletion
BR00132673	M17	3500	44	deletion
BR00132673	M18	3500	44	deletion
BR00132673	M19	3500	15	deletion
BR00132673	M20	3500	15	deletion
BR00132673	M21	3500	37	deletion
BR00132673	M22	3500	37	deletion
BR00132673	M23	3500	7	control
BR00132673	M24	3500	7	control
BR00132673	N01	3500	14	control
BR00132673	N02	3500	14	control
BR00132673	N03	3500	36	deletion
BR00132673	N04	3500	36	deletion
BR00132673	N05	3500	43	control
BR00132673	N06	3500	43	control
BR00132673	N07	3500	16	deletion
BR00132673	N08	3500	16	deletion
BR00132673	N09	3500	45	deletion
BR00132673	N10	3500	45	deletion
BR00132673	N11	3500	4	deletion
BR00132673	N12	3500	4	deletion
BR00132673	N13	3500	25	control
BR00132673	N14	3500	25	control
BR00132673	N15	3500	34	deletion
BR00132673	N16	3500	34	deletion
BR00132673	N17	3500	44	deletion
BR00132673	N18	3500	44	deletion
BR00132673	N19	3500	15	deletion
BR00132673	N20	3500	15	deletion
BR00132673	N21	3500	37	deletion
BR00132673	N22	3500	37	deletion
BR00132673	N23	3500	7	control
BR00132673	N24	3500	7	control
BR00132673	O01	3500	10	control
BR00132673	O02	3500	10	control
BR00132673	O03	3500	25	control
BR00132673	O04	3500	25	control
BR00132673	O05	3500	8	deletion
BR00132673	O06	3500	8	deletion
BR00132673	O07	3500	31	control
BR00132673	O08	3500	31	control
BR00132673	O09	3500	18	deletion
BR00132673	O10	3500	18	deletion
BR00132673	O11	3500	21	control
BR00132673	O12	3500	21	control
BR00132673	O13	3500	3	control
BR00132673	O14	3500	3	control
BR00132673	O15	3500	23	deletion
BR00132673	O16	3500	23	deletion
BR00132673	O17	3500	33	deletion
BR00132673	O18	3500	33	deletion
BR00132673	O19	3500	13	deletion
BR00132673	O20	3500	13	deletion
BR00132673	O21	3500	35	deletion
BR00132673	O22	3500	35	deletion
BR00132673	O23	3500	22	control
BR00132673	O24	3500	22	control
BR00132673	P01	3500	10	control
BR00132673	P02	3500	10	control
BR00132673	P03	3500	25	control
BR00132673	P04	3500	25	control
BR00132673	P05	3500	8	deletion
BR00132673	P06	3500	8	deletion
BR00132673	P07	3500	31	control
BR00132673	P08	3500	31	control
BR00132673	P09	3500	18	deletion
BR00132673	P10	3500	18	deletion
BR00132673	P11	3500	21	control
BR00132673	P12	3500	21	control
BR00132673	P13	3500	3	control
BR00132673	P14	3500	3	control
BR00132673	P15	3500	23	deletion
BR00132673	P16	3500	23	deletion
BR00132673	P17	3500	33	deletion
BR00132673	P18	3500	33	deletion
BR00132673	P19	3500	13	deletion
BR00132673	P20	3500	13	deletion
BR00132673	P21	3500	35	deletion
BR00132673	P22	3500	35	deletion
BR00132673	P23	3500	22	control
BR00132673	P24	3500	22	control




