plate_map_name	well_position	EXPERIMENT_NAME	DENSITY	LINE_ID	GENOTYPE
BR00132672	A01	2022_03_03_NCP_NEURONS_2	3500	1	DELETION
BR00132672	A02	2022_03_03_NCP_NEURONS_2	3500	1	DELETION
BR00132672	A03	2022_03_03_NCP_NEURONS_2	3500	30	CONTROL
BR00132672	A04	2022_03_03_NCP_NEURONS_2	3500	30	CONTROL
BR00132672	A05	2022_03_03_NCP_NEURONS_2	3500	9	CONTROL
BR00132672	A06	2022_03_03_NCP_NEURONS_2	3500	9	CONTROL
BR00132672	A07	2022_03_03_NCP_NEURONS_2	3500	26	CONTROL
BR00132672	A08	2022_03_03_NCP_NEURONS_2	3500	26	CONTROL
BR00132672	A09	2022_03_03_NCP_NEURONS_2	3500	4	DELETION
BR00132672	A10	2022_03_03_NCP_NEURONS_2	3500	4	DELETION
BR00132672	A11	2022_03_03_NCP_NEURONS_2	3500	34	DELETION
BR00132672	A12	2022_03_03_NCP_NEURONS_2	3500	34	DELETION
BR00132672	A13	2022_03_03_NCP_NEURONS_2	3500	15	DELETION
BR00132672	A14	2022_03_03_NCP_NEURONS_2	3500	15	DELETION
BR00132672	A15	2022_03_03_NCP_NEURONS_2	3500	36	DELETION
BR00132672	A16	2022_03_03_NCP_NEURONS_2	3500	36	DELETION
BR00132672	A17	2022_03_03_NCP_NEURONS_2	3500	2	DELETION
BR00132672	A18	2022_03_03_NCP_NEURONS_2	3500	2	DELETION
BR00132672	A19	2022_03_03_NCP_NEURONS_2	3500	16	DELETION
BR00132672	A20	2022_03_03_NCP_NEURONS_2	3500	16	DELETION
BR00132672	A21	2022_03_03_NCP_NEURONS_2	3500	20	CONTROL
BR00132672	A22	2022_03_03_NCP_NEURONS_2	3500	20	CONTROL
BR00132672	A23	2022_03_03_NCP_NEURONS_2	3500	12	CONTROL
BR00132672	A24	2022_03_03_NCP_NEURONS_2	3500	12	CONTROL
BR00132672	B01	2022_03_03_NCP_NEURONS_2	3500	1	DELETION
BR00132672	B02	2022_03_03_NCP_NEURONS_2	3500	1	DELETION
BR00132672	B03	2022_03_03_NCP_NEURONS_2	3500	30	CONTROL
BR00132672	B04	2022_03_03_NCP_NEURONS_2	3500	30	CONTROL
BR00132672	B05	2022_03_03_NCP_NEURONS_2	3500	9	CONTROL
BR00132672	B06	2022_03_03_NCP_NEURONS_2	3500	9	CONTROL
BR00132672	B07	2022_03_03_NCP_NEURONS_2	3500	26	CONTROL
BR00132672	B08	2022_03_03_NCP_NEURONS_2	3500	26	CONTROL
BR00132672	B09	2022_03_03_NCP_NEURONS_2	3500	4	DELETION
BR00132672	B10	2022_03_03_NCP_NEURONS_2	3500	4	DELETION
BR00132672	B11	2022_03_03_NCP_NEURONS_2	3500	34	DELETION
BR00132672	B12	2022_03_03_NCP_NEURONS_2	3500	34	DELETION
BR00132672	B13	2022_03_03_NCP_NEURONS_2	3500	15	DELETION
BR00132672	B14	2022_03_03_NCP_NEURONS_2	3500	15	DELETION
BR00132672	B15	2022_03_03_NCP_NEURONS_2	3500	36	DELETION
BR00132672	B16	2022_03_03_NCP_NEURONS_2	3500	36	DELETION
BR00132672	B17	2022_03_03_NCP_NEURONS_2	3500	2	DELETION
BR00132672	B18	2022_03_03_NCP_NEURONS_2	3500	2	DELETION
BR00132672	B19	2022_03_03_NCP_NEURONS_2	3500	16	DELETION
BR00132672	B20	2022_03_03_NCP_NEURONS_2	3500	16	DELETION
BR00132672	B21	2022_03_03_NCP_NEURONS_2	3500	20	CONTROL
BR00132672	B22	2022_03_03_NCP_NEURONS_2	3500	20	CONTROL
BR00132672	B23	2022_03_03_NCP_NEURONS_2	3500	12	CONTROL
BR00132672	B24	2022_03_03_NCP_NEURONS_2	3500	12	CONTROL
BR00132672	C01	2022_03_03_NCP_NEURONS_2	3500	17	CONTROL
BR00132672	C02	2022_03_03_NCP_NEURONS_2	3500	17	CONTROL
BR00132672	C03	2022_03_03_NCP_NEURONS_2	3500	39	CONTROL
BR00132672	C04	2022_03_03_NCP_NEURONS_2	3500	39	CONTROL
BR00132672	C05	2022_03_03_NCP_NEURONS_2	3500	37	DELETION
BR00132672	C06	2022_03_03_NCP_NEURONS_2	3500	37	DELETION
BR00132672	C07	2022_03_03_NCP_NEURONS_2	3500	42	DELETION
BR00132672	C08	2022_03_03_NCP_NEURONS_2	3500	42	DELETION
BR00132672	C09	2022_03_03_NCP_NEURONS_2	3500	7	CONTROL
BR00132672	C10	2022_03_03_NCP_NEURONS_2	3500	7	CONTROL
BR00132672	C11	2022_03_03_NCP_NEURONS_2	3500	29	CONTROL
BR00132672	C12	2022_03_03_NCP_NEURONS_2	3500	29	CONTROL
BR00132672	C13	2022_03_03_NCP_NEURONS_2	3500	11	CONTROL
BR00132672	C14	2022_03_03_NCP_NEURONS_2	3500	11	CONTROL
BR00132672	C15	2022_03_03_NCP_NEURONS_2	3500	38	DELETION
BR00132672	C16	2022_03_03_NCP_NEURONS_2	3500	38	DELETION
BR00132672	C17	2022_03_03_NCP_NEURONS_2	3500	43	CONTROL
BR00132672	C18	2022_03_03_NCP_NEURONS_2	3500	43	CONTROL
BR00132672	C19	2022_03_03_NCP_NEURONS_2	3500	18	DELETION
BR00132672	C20	2022_03_03_NCP_NEURONS_2	3500	18	DELETION
BR00132672	C21	2022_03_03_NCP_NEURONS_2	3500	6	CONTROL
BR00132672	C22	2022_03_03_NCP_NEURONS_2	3500	6	CONTROL
BR00132672	C23	2022_03_03_NCP_NEURONS_2	3500	29	CONTROL
BR00132672	C24	2022_03_03_NCP_NEURONS_2	3500	29	CONTROL
BR00132672	D01	2022_03_03_NCP_NEURONS_2	3500	17	CONTROL
BR00132672	D02	2022_03_03_NCP_NEURONS_2	3500	17	CONTROL
BR00132672	D03	2022_03_03_NCP_NEURONS_2	3500	39	CONTROL
BR00132672	D04	2022_03_03_NCP_NEURONS_2	3500	39	CONTROL
BR00132672	D05	2022_03_03_NCP_NEURONS_2	3500	37	DELETION
BR00132672	D06	2022_03_03_NCP_NEURONS_2	3500	37	DELETION
BR00132672	D07	2022_03_03_NCP_NEURONS_2	3500	42	DELETION
BR00132672	D08	2022_03_03_NCP_NEURONS_2	3500	42	DELETION
BR00132672	D09	2022_03_03_NCP_NEURONS_2	3500	7	CONTROL
BR00132672	D10	2022_03_03_NCP_NEURONS_2	3500	7	CONTROL
