,x_train,x_test,y_train,y_test,train_acc,test_acc
63,217.0,217.0,77.0,77.0,1.0,0.5714285714285714
64,206.0,206.0,88.0,88.0,1.0,0.45454545454545453
65,214.0,214.0,80.0,80.0,1.0,0.7
66,215.0,215.0,79.0,79.0,0.9953488372093023,0.810126582278481
67,206.0,206.0,88.0,88.0,1.0,0.7386363636363636
68,206.0,206.0,88.0,88.0,1.0,0.4659090909090909
69,222.0,222.0,72.0,72.0,0.9954954954954955,0.8194444444444444
70,217.0,217.0,77.0,77.0,0.9953917050691244,0.6753246753246753
71,214.0,214.0,80.0,80.0,0.9953271028037384,0.825
72,206.0,206.0,88.0,88.0,1.0,0.5795454545454546
73,206.0,206.0,88.0,88.0,1.0,0.7045454545454546
74,206.0,206.0,88.0,88.0,1.0,0.5681818181818182
75,208.0,208.0,86.0,86.0,0.9951923076923077,0.7325581395348837
76,208.0,208.0,86.0,86.0,0.9951923076923077,0.8837209302325582
77,209.0,209.0,85.0,85.0,0.9952153110047847,0.7294117647058823
78,216.0,216.0,78.0,78.0,0.9953703703703703,0.6153846153846154
79,215.0,215.0,79.0,79.0,1.0,0.6455696202531646
80,206.0,206.0,88.0,88.0,1.0,0.7840909090909091
81,206.0,206.0,88.0,88.0,1.0,0.6704545454545454
82,216.0,216.0,78.0,78.0,0.9953703703703703,0.7435897435897436
83,216.0,216.0,78.0,78.0,1.0,0.7948717948717948
84,211.0,211.0,83.0,83.0,1.0,0.6987951807228916
85,212.0,212.0,82.0,82.0,1.0,0.5121951219512195
86,206.0,206.0,88.0,88.0,0.9951456310679612,0.6931818181818182
87,214.0,214.0,80.0,80.0,1.0,0.6375
88,206.0,206.0,88.0,88.0,1.0,0.6363636363636364
89,214.0,214.0,80.0,80.0,1.0,0.6375
90,206.0,206.0,88.0,88.0,1.0,0.5454545454545454
91,211.0,211.0,83.0,83.0,1.0,0.5903614457831325
92,219.0,219.0,75.0,75.0,1.0,0.7466666666666667
93,208.0,208.0,86.0,86.0,1.0,0.7906976744186046
94,208.0,208.0,86.0,86.0,1.0,0.5116279069767442
95,208.0,208.0,86.0,86.0,1.0,0.5813953488372093
96,214.0,214.0,80.0,80.0,1.0,0.7125
97,208.0,208.0,86.0,86.0,1.0,0.5930232558139535
98,211.0,211.0,83.0,83.0,1.0,0.6746987951807228
99,206.0,206.0,88.0,88.0,1.0,0.6704545454545454
