,x_train,x_test,y_train,y_test,train_acc,test_acc
0,208.0,208.0,86.0,86.0,0.9951923076923077,0.6744186046511628
1,206.0,206.0,88.0,88.0,0.9951456310679612,0.8977272727272727
2,214.0,214.0,80.0,80.0,1.0,0.6875
3,206.0,206.0,88.0,88.0,1.0,0.6136363636363636
4,214.0,214.0,80.0,80.0,1.0,0.875
5,211.0,211.0,83.0,83.0,0.990521327014218,0.7349397590361446
6,210.0,210.0,84.0,84.0,1.0,0.6904761904761905
7,214.0,214.0,80.0,80.0,0.9953271028037384,0.825
8,208.0,208.0,86.0,86.0,1.0,0.6976744186046512
9,208.0,208.0,86.0,86.0,1.0,0.5116279069767442
10,208.0,208.0,86.0,86.0,0.9903846153846154,0.813953488372093
11,206.0,206.0,88.0,88.0,0.9951456310679612,0.7727272727272727
12,208.0,208.0,86.0,86.0,1.0,0.6976744186046512
13,213.0,213.0,81.0,81.0,1.0,0.5185185185185185
14,217.0,217.0,77.0,77.0,1.0,0.5454545454545454
15,213.0,213.0,81.0,81.0,1.0,0.6419753086419753
16,209.0,209.0,85.0,85.0,1.0,0.6588235294117647
17,209.0,209.0,85.0,85.0,1.0,0.7529411764705882
18,208.0,208.0,86.0,86.0,1.0,0.6976744186046512
19,211.0,211.0,83.0,83.0,0.995260663507109,0.8192771084337349
20,221.0,221.0,73.0,73.0,0.995475113122172,0.7534246575342466
21,214.0,214.0,80.0,80.0,1.0,0.55
22,206.0,206.0,88.0,88.0,1.0,0.6022727272727273
23,215.0,215.0,79.0,79.0,0.9953488372093023,0.7088607594936709
24,211.0,211.0,83.0,83.0,1.0,0.3253012048192771
25,213.0,213.0,81.0,81.0,1.0,0.7037037037037037
26,208.0,208.0,86.0,86.0,1.0,0.4883720930232558
27,209.0,209.0,85.0,85.0,1.0,0.5294117647058824
28,212.0,212.0,82.0,82.0,1.0,0.5121951219512195
29,209.0,209.0,85.0,85.0,0.9952153110047847,0.8352941176470589
30,211.0,211.0,83.0,83.0,1.0,0.6144578313253012
31,210.0,210.0,84.0,84.0,1.0,0.7857142857142857
32,215.0,215.0,79.0,79.0,0.9953488372093023,0.6708860759493671
33,211.0,211.0,83.0,83.0,1.0,0.5421686746987951
34,213.0,213.0,81.0,81.0,1.0,0.7283950617283951
35,211.0,211.0,83.0,83.0,1.0,0.6987951807228916
36,209.0,209.0,85.0,85.0,1.0,0.5764705882352941
37,216.0,216.0,78.0,78.0,0.9953703703703703,0.7435897435897436
38,214.0,214.0,80.0,80.0,1.0,0.6625
39,206.0,206.0,88.0,88.0,0.9951456310679612,0.75
40,211.0,211.0,83.0,83.0,1.0,0.7108433734939759
41,214.0,214.0,80.0,80.0,1.0,0.425
42,215.0,215.0,79.0,79.0,1.0,0.5316455696202531
43,219.0,219.0,75.0,75.0,1.0,0.68
44,209.0,209.0,85.0,85.0,1.0,0.7176470588235294
45,208.0,208.0,86.0,86.0,1.0,0.5116279069767442
46,215.0,215.0,79.0,79.0,1.0,0.7974683544303798
47,206.0,206.0,88.0,88.0,0.9951456310679612,0.6363636363636364
48,206.0,206.0,88.0,88.0,1.0,0.45454545454545453
49,208.0,208.0,86.0,86.0,1.0,0.7558139534883721
50,206.0,206.0,88.0,88.0,0.9951456310679612,0.8181818181818182
51,211.0,211.0,83.0,83.0,1.0,0.7710843373493976
52,208.0,208.0,86.0,86.0,1.0,0.627906976744186
53,206.0,206.0,88.0,88.0,0.9951456310679612,0.6590909090909091
54,214.0,214.0,80.0,80.0,0.9953271028037384,0.75
55,208.0,208.0,86.0,86.0,1.0,0.6627906976744186
56,214.0,214.0,80.0,80.0,1.0,0.575
57,211.0,211.0,83.0,83.0,0.995260663507109,0.6385542168674698
58,210.0,210.0,84.0,84.0,0.9952380952380953,0.7857142857142857
59,206.0,206.0,88.0,88.0,1.0,0.7954545454545454
60,216.0,216.0,78.0,78.0,0.9953703703703703,0.7435897435897436
61,209.0,209.0,85.0,85.0,1.0,0.6823529411764706
62,211.0,211.0,83.0,83.0,1.0,0.7951807228915663
